frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,waist_yaw,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0,-0.01871468238782454,-0.023973358191445776,0.43621881509014065,0.05145943513618168,0.11464683905710948,0.5997149686054901,0.790284749479702,-0.15583181875395646,0.4146502876559758,0.20625676220714154,0.25511400327647593,0.13885018144571262,-0.2265658788665492,-0.7889362230483251,-0.6152995991181015,0.23414172595362234,0.5670181259849267,0.09277561698308436,0.37524999999999953,-0.31763263697270383,-1.25636752604968,-0.009797574707458189,-0.9631388436909915,-1.3925480410419617,0.31095308805999045,-1.045091565322933,-0.9081328828727638,1.0388118759367397,-1.9547019669414292,0.020847934415016638
1,-0.008327214033437164,-0.024538315446646038,0.4279509390766069,0.07199118908649357,0.13745948559127744,0.6364293442880423,0.7555659125741362,-0.24071077626151888,0.3526559974320762,0.13701878993325167,0.3125274121938343,0.11622710660931664,-0.23928996270516933,-0.9301599345409975,-0.7029182725578229,0.2972347686524201,0.8129683577700779,-0.07210081523291394,0.37525,-0.29925030936521313,-1.2314736669144153,0.2797069777381569,-1.0771906252241834,-1.7893958229102298,0.3395298719631034,-0.6842956264804032,-1.2637093912525617,0.491154926015429,-1.9548,-0.231608048064668
2,-0.005863174896500498,-0.029846670316203548,0.42828165609899305,0.08977604908149041,0.1439103210560708,0.6526275641731061,0.7384492826093983,-0.26177644509885867,0.3011320494471344,0.16302063948416173,0.3297137513148196,0.12071177156947173,-0.23074979798404388,-0.9396083220248149,-0.7680769494022894,0.2786737321643391,0.8361864595658188,-0.08887572709008297,0.37525,-0.3424460253637035,-1.158934707240163,0.5623809638794272,-1.0462434447098263,-1.9547999999999974,0.19930786431454892,-0.5181832325659222,-1.3306872061201882,0.22514723327794567,-1.9548,-0.4197640969320158
3,-0.006346150702016864,-0.04564596358422733,0.42900064273183824,0.10355518322325888,0.15788849983529946,0.6761834339601087,0.7121260487338401,-0.36199841472993166,0.23106973125750446,0.1730903287473669,0.4026683553845549,0.10563257533866424,-0.19693815810599632,-0.9694250003033272,-0.8492823068376549,0.2479574667369181,0.8233777990333164,-0.05978439509853757,0.3752499999999443,-0.3942264966098386,-1.1514498964193827,0.7357370369624308,-0.9942852091030868,-1.9548,0.12174684687563068,-0.4224866026346337,-1.3247685421069597,0.042004037860353734,-1.9548,-0.5560830250355644
4,-0.001459708291157187,-0.04438265363115255,0.4301073916091715,0.09749697541164007,0.16132804598836165,0.6871468700354251,0.7016386394460312,-0.4153655224734363,0.2292191479170278,0.19431983901677777,0.4542809294926981,0.06947884293084551,-0.17545988470295873,-0.9594757197252909,-0.8750455217890029,0.18216216541339803,0.8428107524759434,-0.07322472696345494,0.3752499999999999,-0.391415489058324,-1.1639177814323116,0.8438842160911587,-0.9636252420417438,-1.9548,0.06328198096370256,-0.31080144083765476,-1.1781753578703626,-0.16256096020785307,-1.9547999999283519,-0.7056617197158643
5,0.0021630975912565746,-0.040861215703439334,0.43119575795038617,0.09398652253198016,0.14631145443647406,0.6964157397991577,0.6962503926340164,-0.3609762324252246,0.24915441218957576,0.21944884035588633,0.4025850509393523,0.06327115628590162,-0.17926231278758223,-0.8863144428940063,-0.8852658557747275,0.09031750424997467,0.8822234742862486,-0.10426949201632715,0.37525,-0.3462677141948376,-1.0982481971726976,0.9749284036025606,-0.8395591758225779,-1.9548,0.005711132676631788,-0.20816499299592137,-0.9642705914139909,-0.2779000013452379,-1.8074315396319154,-0.8630502288304406
6,-0.006343787411891446,-0.04456485075316998,0.4292723456170023,0.08088814666768421,0.1431015778465626,0.7149013849761524,0.6796286161615561,-0.4331784778239784,0.25042796508588416,0.1900697969278485,0.43927244243319025,0.027979238249691417,-0.15481827285740457,-0.8420802544551937,-0.9209548651222978,0.0036967155692556935,0.8765388705386312,-0.08062299538885771,0.37525,-0.29695528198240245,-1.0779282405447312,1.0771225552947878,-0.6656538204539578,-1.9548,0.014649323523723556,-0.13949008033468493,-0.7727980830463169,-0.4096479586615677,-1.5685048250320515,-0.9113768768790488
7,-0.024989613449441162,-0.051294020846769026,0.42469068656367176,0.06112787151734128,0.1373755843820194,0.7310299147702939,0.66557238212714,-0.5305033297449299,0.25926340319429614,0.1490303958804071,0.5035555806200962,-0.05468111065889083,-0.1377502637645344,-0.8009351587301746,-0.9365051533339198,-0.05877778304221722,0.8496958266273732,-0.03870102399018273,0.37525,-0.2225843817255467,-1.0994574785861353,1.1354884808956591,-0.44088937557798,-1.9548,0.0852313802366193,-0.07831305751171871,-0.6216368881114538,-0.5340558190471154,-1.3251375265142675,-0.919432854397013
8,-0.032095803554436246,-0.051994561213895944,0.41989317125523057,0.025899836414111522,0.14064703268631737,0.7455706265090443,0.6509009537227359,-0.6630131322835412,0.28638289364223374,0.0984086798130609,0.5861091760775904,-0.11711784725584312,-0.13115581310734564,-0.7968124719779481,-0.9270426723405164,-0.11030668306696029,0.8393661424640185,-0.032895117368367435,0.37525,-0.11340160066844063,-1.1076520586523826,1.2445643409100582,-0.08430551188243117,-1.9548,0.2204492406641411,-0.03209074663184828,-0.5323378604404917,-0.7141099481340403,-1.066297994352697,-0.8860405145279003
9,-0.04314050920297055,-0.047221629755048934,0.40999000842504424,-0.02717222740978087,0.12661503548443026,0.7544566920749519,0.6434480574453452,-0.8293135271276738,0.3660687037810598,0.023748329823526055,0.728467351148977,-0.2001983928512667,-0.14785162719139855,-0.7765221478169567,-0.8615828976140888,-0.15418558848370462,0.8206670583792259,-0.03259218977694807,0.37525,0.015640016122713638,-1.0531488328068355,1.3569439762795836,0.4009440419046076,-1.9548,0.4627948019532015,0.024562608436906046,-0.49393868077204817,-0.785166630577278,-0.8044705515111736,-0.7598615958149115
10,-0.06410783639001048,-0.04546586756606768,0.3925376507170389,-0.07789181248094082,0.09411486921489899,0.7602195159325339,0.6380764409821124,-1.0150732362123962,0.43743793792347385,-0.09605893736347337,0.9180685943095351,-0.32232945534127777,-0.16073126551097763,-0.734748037714188,-0.7972674839814458,-0.19182301012381778,0.7911949310695411,-0.03588916085835664,0.37524999999982533,0.1591434239832675,-0.9353617779683221,1.3712690713706273,0.6826459237724258,-1.9548,0.5229917197756715,0.051531141461220516,-0.47744552528777,-0.7186406322057781,-0.6135257132406488,-0.6397494872098605
11,-0.07332300217314595,-0.04497278944773805,0.38622969468611107,-0.10882157805672436,0.061235511839549006,0.763436886373759,0.6336972437709761,-1.1176258819181941,0.48874910345083866,-0.20036148236617843,1.003871295218328,-0.3745554019010058,-0.1930567961038882,-0.7023399362202613,-0.7586485967159379,-0.2522282912563253,0.7810637771652287,-0.07603229082711897,0.3313314816619003,0.29599272155621037,-0.9269233687005612,1.2256857362758689,0.6707266472709312,-1.9548,0.46954921996279003,0.04912858355147905,-0.47009154229576783,-0.5901197751433556,-0.5308736483084694,-0.5625060343721313
12,-0.08047885309206203,-0.05367059923227746,0.38459031403063043,-0.1255757739590971,0.024854040978785862,0.7591810161526121,0.6381670520757748,-1.1956977813138985,0.5408551662491894,-0.2849917975350035,1.0844193521026435,-0.40643939349758057,-0.21904957388237828,-0.6960649889003324,-0.7211023697019787,-0.30642224704160026,0.8041816585532465,-0.10601064080792155,0.2634351040268396,0.44355244233502333,-0.9440933686472096,1.0173503928903782,0.5897341491763716,-1.9548,0.32492844307126223,-0.008206295178084298,-0.4767309211628874,-0.4147756561099522,-0.4924121291891857,-0.4976434465731145
13,-0.0850433456939941,-0.060623285122978175,0.38178584336962645,-0.13159935227699943,-0.006529667769972841,0.7505044388209727,0.6475971442410039,-1.2401008306052859,0.5913610519997711,-0.3502152146784784,1.1517082044904583,-0.43479852222748316,-0.2344012761887116,-0.6766863311697716,-0.6888848223555897,-0.3638176360883372,0.8158986274727733,-0.10808771918022081,0.21415086486414792,0.5408620331754069,-0.8882713291519694,0.8880027005433256,0.554993908899403,-1.8458806505489496,0.27128047196343513,-0.10074481020385767,-0.4681032328001968,-0.21964659201263448,-0.5656577003339917,-0.48375891714037295
14,-0.08737262277662726,-0.06516889407825811,0.37807499170554854,-0.13113059043697894,-0.03290618444092181,0.7350946346559248,0.6643476720643048,-1.258184516465591,0.6512236298676949,-0.400245817312634,1.2139842491903128,-0.44851418535693427,-0.25439822157407693,-0.6709003121162859,-0.6602812381406155,-0.39926177553752024,0.8361776050429892,-0.11548048447091204,0.18646784579228573,0.6108794448421607,-0.8289709238328434,0.8141089812255277,0.5486622829088061,-1.632244405528697,0.2781801029804094,-0.18745986187362104,-0.4556658378822419,0.00457889876612207,-0.7545660884731304,-0.448458070664688
15,-0.08005111299915947,-0.06192949064675858,0.37518538006934576,-0.12382965737896798,-0.04970483599412535,0.7171204285429339,0.6840569685330323,-1.2216870200408756,0.7207183607684123,-0.4258257040014256,1.2352348607923291,-0.43678684814825736,-0.28022688506783716,-0.690203242460264,-0.6357410780004112,-0.39236277196655445,0.8902120222189174,-0.16495232223638492,0.16057673104240652,0.6553067888608701,-0.7373377275135198,0.7439891236502144,0.5692953976902522,-1.4210078947478164,0.35552107143892414,-0.2566530297153752,-0.4470787589554681,0.17790165885679796,-1.075036566728067,-0.4785763089966517
16,-0.07205895644568196,-0.057806899635420066,0.3721004357872985,-0.11251234747679874,-0.058451437868758234,0.6991636528458133,0.7036295812539665,-1.160177653537661,0.7812679509338855,-0.4182741406894913,1.2448239919064774,-0.4205893670056263,-0.28453920917544495,-0.7197150918146977,-0.612341644275173,-0.3534342986800988,0.9336994283178376,-0.21075574103310774,0.15442484306640397,0.6703794765142529,-0.6186014189404654,0.6507442022676807,0.5868282034199892,-1.2723676718838322,0.4384632653527572,-0.27482581785595805,-0.4727483696025445,0.2892747732717527,-1.4418138894966777,-0.5229532307049005
17,-0.05690120245870352,-0.051456466669490795,0.37191861619702066,-0.10275749851319703,-0.05339690900353985,0.689835572922923,0.7146443513652642,-1.0781548451681813,0.8169147589773844,-0.37722325242361093,1.2013539675463512,-0.36707439075422416,-0.29899790639575197,-0.7668954373876473,-0.6016672668099187,-0.30068522900193145,0.9917131747267766,-0.2917549609526383,0.13363123713113062,0.6405700182013998,-0.518624460099684,0.5277823271255753,0.565260173258612,-1.150393272324423,0.5492097730789943,-0.2752986657901398,-0.5441811859485359,0.38650782491389685,-1.7959214473590288,-0.5800742430765408
18,-0.041563315156232614,-0.04401978795307768,0.3730176414358137,-0.09699426385382316,-0.0499076693225075,0.6780883053955546,0.7268408267344605,-0.9894807882845309,0.8651188285294381,-0.3228721076030681,1.1449118622744243,-0.32126239569917986,-0.30227845817187815,-0.7965138633717376,-0.5651281901526694,-0.2575503894950154,1.0221607338235088,-0.3782050789374337,0.11872954210600223,0.5825180214712478,-0.4372938230004245,0.3934399082608065,0.500337135280195,-1.0409461863726304,0.5849702749774955,-0.4047283729212442,-0.572406270427326,0.5396057246116016,-1.9547999988693996,-0.5804170882746451
19,-0.0241919648731934,-0.041959349893101176,0.37400241916269555,-0.09129248413757755,-0.047561003261695545,0.6660498571296992,0.7387700732475819,-0.9013672876016794,0.9218208034226055,-0.24599303236889256,1.0799603652977925,-0.26019544561144997,-0.31199614344246074,-0.8301371192265171,-0.5190543940464113,-0.2185513613291151,1.0511405698380274,-0.42925323049880115,0.1126227722868964,0.4795129539195713,-0.3921830398460737,0.2490163077076878,0.5133151693791989,-0.8896415725031864,0.6185800429523437,-0.5879031211370844,-0.5616224427297681,0.6848069003562187,-1.9547999999999996,-0.5630204358173906
20,-0.012130692417953049,-0.03682815573804431,0.3751898674837489,-0.09554025735426745,-0.040905351444076525,0.6472188885609739,0.7551864152232969,-0.8156671964612366,0.9939959766681377,-0.13114886011106167,1.0249712827893134,-0.20165276240654648,-0.2956318789993679,-0.8615898089851977,-0.4673190126336733,-0.20608706671054697,1.0497799439184783,-0.45480432622840333,0.11177813140573864,0.3336488853183317,-0.3894922583429455,0.15086707248857806,0.5093794300843876,-0.7353968583711132,0.6450388083820819,-0.7607654600144944,-0.5649192533906343,0.8357673410286123,-1.9548,-0.5224676619315098
21,-0.0023558584927967116,-0.03833931161861819,0.37785576687301614,-0.10149769852314304,-0.026771675254722023,0.6233595208510283,0.7748576658735048,-0.7111256741893268,1.0658718936899527,0.0765700308800533,0.9597642001944039,-0.11054367067188473,-0.22530698226425735,-0.909070923131543,-0.4004790314031788,-0.18509458216890445,1.0173199741768353,-0.3891259599346422,0.10944720037305085,0.13201714975267062,-0.47609885042644645,0.15005092084941102,0.4665371596418526,-0.552669253597069,0.6912993800149542,-0.9574045160411686,-0.5663686467688354,0.9833176134817045,-1.9548,-0.39238861149263615
22,0.01719939024790579,-0.03372684930910859,0.38228260113038803,-0.09388028872899784,-0.00021986855999891488,0.6111194973336589,0.7859512726782946,-0.6079545490066083,1.0124554291025545,0.19714274907694904,0.8431809310605137,-0.0360246694616401,-0.20402065727361304,-0.9527029279238914,-0.3857341539401517,-0.15416405131149813,1.0212953060241607,-0.4195143295042548,0.11137948487984174,-0.034455734294548186,-0.5457893084464732,0.11642225817757122,0.3172593971825684,-0.45719638716306693,0.7256505518288994,-1.0683417598575322,-0.6347682329960154,1.082407861442019,-1.9548,-0.24091986562092596
23,0.02128983027550727,-0.03321917733447899,0.39379904916345443,-0.08600351545625613,0.012875140537862761,0.597134022559264,0.7974136851017082,-0.5366674390145898,0.9034798629095584,0.177637723681988,0.6851474810812691,-0.034214734204371926,-0.2501178175082193,-0.9500716761461173,-0.35948698899273235,-0.1079193529973422,0.9681110796042074,-0.37802297220198827,0.141212440566548,-0.14614963731431885,-0.6207355288999385,0.08044801643265002,0.07060753708371909,-0.43450971934716537,0.7359173655493206,-1.1296739464280114,-0.752039417085611,1.146313123144636,-1.9548,-0.015016991083711078
24,0.029249127997943346,-0.032556879408003295,0.400290479842186,-0.0689852971953209,0.03278573641834668,0.5982487000219511,0.7976619692453846,-0.4518811806777187,0.7934960875556615,0.16824281638393804,0.5430168874859168,0.051960238847981344,-0.283271859464019,-0.9536799892797888,-0.3730586781238876,-0.0451463040050636,0.9505091474006169,-0.3645214233299573,0.16540381367694712,-0.1859094867691013,-0.7504845572779076,-0.0033861543715670594,-0.23250777259711178,-0.47507372488410377,0.7168283171840885,-1.0207331500784649,-0.9941185027934962,1.055566073863791,-1.9548,0.14697817854819512
25,0.04036698896159506,-0.02786941567058259,0.4025453070193488,-0.02834332523472833,0.06686242673812064,0.5968900609114324,0.7990296158406607,-0.32457947568490825,0.6410518306717793,0.23471566630676233,0.43659830438876385,0.13964542799431173,-0.2684272138061193,-0.9895860777831776,-0.4390694863801241,0.058782264183755366,0.9659257025667393,-0.38819642015525246,0.2003054417520353,-0.186023088117863,-0.9382815867100655,-0.1475933938773898,-0.6475845251970053,-0.5271871645772229,0.651021709579713,-0.66617802377877,-1.3941802552696982,0.6105113983594819,-1.9548,0.22745544887962796
26,0.04180474536519841,-0.01839088521444809,0.406032549339146,0.031183784065158496,0.10147935561268867,0.5991262974764794,0.7935850248511085,-0.21240928584519772,0.44780195891721597,0.2874003245533097,0.3440787500514894,0.20603881426885115,-0.2404868167100011,-1.046252414392933,-0.561082673829064,0.2130829379625974,1.0020272862786022,-0.39868242442850516,0.25275650493912966,-0.2619457248770806,-1.1219208728268928,-0.1745299999999862,-0.9063076526231639,-0.6521569976674222,0.6747089121899754,-0.2208606171324144,-1.7764919389017162,0.02060570176738284,-1.9548,-0.06269159457828757
