frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,waist_yaw,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0,-0.005667947457602393,-0.028451029609130533,0.5243205238469796,-0.06487891642798192,0.06054800214285909,0.7063683261627666,0.7022595342419004,-0.4816886920398268,0.20179176522368036,0.0330491123722471,0.4332568314164395,-0.12796179625957974,-0.13408873712696612,-0.41762003440696227,-0.17708222688890465,-0.18833416918573379,0.25285908944182384,-0.06769504053439299,0.1688274144027675,0.03323084052091864,-0.05021928009980357,0.5277630634436863,-0.5248353585652314,-0.7897212098519402,-0.029658804386752356,-0.004771113289613138,-0.4890548543254916,0.5853869278286612,-0.773979896075375,0.030103485206465087
1,-0.011870047735455587,-0.028762196451666836,0.5239845514093334,-0.06677267961894863,0.059364902768269064,0.7085034179409572,0.7000286596574462,-0.4860823779667288,0.1953545809818417,0.03225115879133117,0.4350660472523192,-0.1346233535178928,-0.1284192118391721,-0.412917398916971,-0.1833404019466367,-0.19327384060706213,0.2483208983256375,-0.05510953930063425,0.17597753406858194,0.0295521775167764,-0.043152500794451626,0.5280824814524934,-0.5224964331339774,-0.7984697731270872,-0.03232000494300343,0.006696907219333054,-0.5005240875118494,0.5847176714607047,-0.7906953622255121,0.03050595329830778
2,-0.01874975994734623,-0.030237056012157575,0.5234020179844056,-0.06884219869600494,0.05852429408765017,0.7100748347709075,0.6983046525015499,-0.4924193341523433,0.1876511572123698,0.03138268938444195,0.43532620040936115,-0.14195750573405086,-0.1212675728727789,-0.41681895779581485,-0.19115697561021924,-0.19392581267512948,0.25395474858672645,-0.03847465975277754,0.18418524739011977,0.023580214765512076,-0.04035997918898212,0.529072025516875,-0.5196809117105763,-0.800432344419913,-0.03241806331492212,0.007753435256585276,-0.5109713079043281,0.5876961623197571,-0.8038258361800376,0.03408140604626191
3,-0.025928110174098684,-0.03388970806315436,0.5211921383366788,-0.07624586951719277,0.05887817585221095,0.7106908155089406,0.6968776740154043,-0.5257786352313772,0.18716254196253618,0.028198707973105298,0.45664840658014005,-0.15370605162897222,-0.11423594776133222,-0.45795406413898093,-0.1958847414608936,-0.1826351277822335,0.30119317161761827,-0.027674912791308355,0.1876286564739805,0.014448674959461422,-0.04524753038452972,0.5398510054341713,-0.5076856382498885,-0.7956316624254705,-0.027760461204997592,-0.004042884030225815,-0.5182453580036419,0.5938252379995221,-0.8192753625878384,0.0413022732507733
4,-0.03631880193384698,-0.0382555131262674,0.5175101315888965,-0.08181556319630635,0.057125315310683086,0.7100379938532096,0.6970573572199318,-0.5430525618854963,0.18229450999016467,0.029636187315061503,0.4616149089436543,-0.16659826395282135,-0.10380875582643849,-0.49964731907330234,-0.21412524130051316,-0.1682177476207272,0.3764441714663152,-0.02193341150795701,0.19321501675180244,0.0036929197270809777,-0.04134093365040049,0.5423402299006436,-0.4989553936691091,-0.787764955132371,-0.011661257169132848,-0.012118510034809803,-0.5302140575157964,0.6022428498820291,-0.8310306965748314,0.04649473981845548
5,-0.04285423408388951,-0.04672496846019816,0.5181649675834874,-0.0847195528251836,0.05494605637912872,0.7083179826397022,0.6986337836998044,-0.551585367541622,0.17985317057560904,0.03102954565226479,0.44350873487042414,-0.1624512476701664,-0.09003959529576733,-0.5430241981923334,-0.24051591021075477,-0.15999304636322506,0.5027139220146017,-0.009481087834669888,0.17799692752723456,-0.008452099563952278,-0.03459327996605304,0.5426497384598056,-0.48243085958530035,-0.7655464239987692,0.016201103250913257,-0.020234837408449557,-0.536287554621148,0.6055844684073046,-0.8446559900298095,0.04148723482644921
6,-0.047158411609477355,-0.05695373504551112,0.5178706729358795,-0.08425138017775916,0.05428450906675666,0.7074426808749872,0.6996282943749026,-0.559836241536163,0.17237915330065412,0.031375397229577016,0.421445685750442,-0.1456840769530076,-0.07369736272023919,-0.5949254189802748,-0.26363621775278345,-0.128106165751745,0.657697816344564,0.02901587406160982,0.1733685725197191,-0.022336055671826012,-0.027899718363968137,0.5405688085024425,-0.4618747358495062,-0.7320655589847452,0.04019433077858246,-0.02147388361393998,-0.5411840054076675,0.5937310435955175,-0.869925239479302,0.021683376099923702
7,-0.05034526673411689,-0.0603481092112365,0.5189100511924297,-0.0846715790474352,0.05326454989654724,0.7072423414626606,0.6998584727417009,-0.5525955368736439,0.16709941207605533,0.03061671440117502,0.3911162917950366,-0.1287099617533653,-0.05811343699804525,-0.6389927748271195,-0.2791324495298208,-0.10524895940481452,0.792220497452507,0.06041043229217948,0.1695373419937948,-0.03610446525874295,-0.0186454647735226,0.5399470737055674,-0.4466838386621386,-0.7045130980453533,0.05608969672754947,-0.013310973466221386,-0.5390445600061675,0.5795367350227209,-0.8862563704422967,0.0003949684272072906
8,-0.05356164239390333,-0.06011797467654996,0.5208499213690571,-0.08434856886588639,0.050999066974106506,0.708417356155422,0.698877144851518,-0.5330877978871349,0.16138814664530216,0.03152242559923843,0.35705841180518444,-0.11594297729854129,-0.045409210851728894,-0.6840284024339871,-0.2917907486376901,-0.09913922075858135,0.9223016770674777,0.06153316758932845,0.16097943003217924,-0.05075083907275419,-0.004196691434819169,0.5423034601423489,-0.4337253179836376,-0.6883873537694627,0.06244928806506129,-0.0060926999233364,-0.5361568763818618,0.5677291135008361,-0.8993550014752822,-0.020753796193387745
9,-0.05602754461105414,-0.05738265698165206,0.5225559534237443,-0.08296024529906974,0.04970988118219918,0.7084226442206324,0.6991308050488247,-0.5108907151059421,0.15522458163235456,0.03456944637776532,0.33069312370502163,-0.10969461561343721,-0.036150132935316215,-0.7148622464630715,-0.303273289053929,-0.09681079929242264,1.0153944236842145,0.05661617104872534,0.15452609930480776,-0.05890179063833963,0.0068096319204797185,0.542106551637562,-0.42934044437268315,-0.6700165236886542,0.06333868863241544,-0.0008953581187671522,-0.5254401964121773,0.5483323875408724,-0.8997769361171805,-0.04286298321328741
