frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,waist_yaw,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0,-0.0037666437934731145,-0.035900341574232913,0.5312838915181731,-0.0008777529429793867,0.026918265852402465,0.6966755628206701,0.7168806014126571,-0.27564614599543613,0.008649841461048961,0.13995253052832815,0.27761822373275635,-0.04203434559503988,0.0018440293580415656,-0.29195987735471324,-0.05151689205975099,-0.11476506607600503,0.26776493346256636,0.06320047052647546,0.11378520494527442,0.004702301661619416,-0.03174480698627883,0.37889933816984855,-0.5836521900734043,-0.6236088671766002,-0.17690750731586125,0.03498531482243153,-0.4905266482665893,0.6235409984002439,-0.9102349150717969,0.07871836910995174
1,-0.0021126434284341,-0.043026609573752976,0.531713507240692,0.002933942881576267,0.02604401378086632,0.6958418304137431,0.7177166908828312,-0.2766218666946581,0.007672228130763176,0.1467380953727047,0.27380666293437217,-0.022545968764332673,-0.014006601353849308,-0.2902113834958377,-0.05491748717338987,-0.13976786596022028,0.2629209818772359,0.06641002571314268,0.1493162480330642,0.009584470211771187,-0.051505668836129954,0.5149117364798276,-0.5478621166117705,-1.0031982237334516,-0.20644927061130433,0.035294259080675294,-0.6635297534940406,0.5634780470199026,-1.3824527918371048,0.1435527784762739
2,-0.0012762974623570901,-0.044084595789089576,0.5319970002600694,0.004360576307130839,0.02566307801725365,0.6955023942763138,0.7180520951552649,-0.2751495147499639,0.006902771566327437,0.142054876965549,0.2730465650346488,-0.014501376375164698,-0.018079306943166902,-0.2869252001416453,-0.05478215644146765,-0.14158469816731925,0.2609220142648622,0.06692484423188173,0.15888085813331004,0.013155155784198227,-0.08471458306802035,0.5816311480794525,-0.505670191701555,-1.225563089677595,-0.22802564519546123,0.007052228994118462,-0.7385805657350353,0.5199560795745483,-1.6197873311453255,0.15407186997995068
3,-5.550693496476439e-05,-0.04145011357686265,0.5324354228105984,0.005836754369383072,0.026985054579606347,0.6955208644658978,0.7179752546017014,-0.2639061657306119,0.0034865106945982344,0.1345716717316271,0.26726683211454794,-0.01754910132381373,-0.027595809715552554,-0.2744621515592514,-0.05656067061789155,-0.14183334903873362,0.25377915751486085,0.057792594848265336,0.1678325989154323,0.015303471138913848,-0.1090529938792327,0.6699913765629837,-0.41369415516728597,-1.6214838018315991,-0.25807101593633025,-0.07253763181907444,-0.830217671226257,0.4324149778291615,-1.954799999233091,0.16047892162062583
4,0.0047145665231663955,-0.040177740779059085,0.5330251892324712,0.002071235083774462,0.019983803037162528,0.6925161531175824,0.7211225521869534,-0.25382460357732006,0.03029800393689744,0.13516537803508824,0.2670920103719863,-0.00835543102240538,-0.04524149870107536,-0.2614455287120705,-0.028581308677980647,-0.14247519282844168,0.2409223444272887,0.06113614103498892,0.16467767228425673,0.01180856070869787,-0.2097765055424757,0.7820458360863924,-0.3476998464607161,-1.954799990414438,-0.27517253228358124,-0.4678099196739043,-0.7283491732749257,0.5702492870567065,-1.9548,0.21628180554397045
5,0.0031197715635690884,-0.042320619612100194,0.5329123795254949,0.002358793550433666,0.01730108910070447,0.6901233903199624,0.7234810395181047,-0.252677896080815,0.030689103302078094,0.1428890163614273,0.2612490748223782,0.006274866495077969,-0.042929519120525436,-0.26945225458321415,-0.02723796225786525,-0.13227459338575964,0.24635979418635606,0.07250349697444733,0.16477706432531372,-0.008378645566651303,-0.3637639663552049,0.7832464610323925,-0.38684089721601667,-1.9547999999999999,-0.3012222718566642,-0.6580700306257679,-0.6464725255594892,0.6342542463719409,-1.9548,0.23093328283314024
6,0.0027498616648482903,-0.04146398860299444,0.5328334738069396,0.004064087265172821,0.01631347748447483,0.6861323740173014,0.7272824203653262,-0.2394919284957801,0.02973953000382585,0.153646876796613,0.2498089960140993,0.01819978030170003,-0.048493002201483566,-0.2688526118946533,-0.026350711137644475,-0.11714894218549692,0.24691399776724693,0.081762530614674,0.16310826865220493,-0.022486824361951194,-0.5761113708443991,0.749987906034836,-0.47709164368782225,-1.9548,-0.3395107041769897,-0.8918980942402954,-0.5392492040951905,0.7066081130348477,-1.9548,0.2377137838137929
7,0.0034755562933460123,-0.03916857115466224,0.5329907667231704,0.008483591365707761,0.013165473542463793,0.6820920924637337,0.7310985408153872,-0.21011783298685244,0.030046889312901427,0.15975792971832675,0.2322177600967834,0.023883620321084195,-0.0641568701716028,-0.2490083511540217,-0.024067449252704345,-0.11074390074920104,0.23800080047071573,0.08715852317563991,0.1639898909367361,-0.03383259333040331,-0.7966236874506556,0.6858688670444082,-0.5557525640777833,-1.9548,-0.40429938264685344,-1.1016776945793412,-0.44675650177553694,0.7912649669776253,-1.9548,0.25568765434577717
8,0.004317755704330414,-0.0385276556368418,0.5331742164141619,0.01289190587513235,0.010044005715498428,0.6809128956677007,0.7321820437743072,-0.18945416287826708,0.02936165964767376,0.1625468403365116,0.2211422493268631,0.027546930646440256,-0.07200116830933331,-0.230202454340209,-0.023344898892454974,-0.1103205528999886,0.2274411476322204,0.0897630783559075,0.16381924212707838,-0.03933531338479518,-0.8971537314124954,0.6484439412980557,-0.5915530627173567,-1.9548,-0.44455759908582737,-1.1903146353820455,-0.3940639233739948,0.81594353137756,-1.9548,0.2632500268034692
9,0.0017202100454508226,-0.03884979437696157,0.5330204819991603,0.01578482646694679,0.007315645044048839,0.6802417812507188,0.7327813040954634,-0.17674564164064938,0.02332948440273417,0.1671160669811157,0.21064209501875092,0.03438601358891511,-0.07538260833765556,-0.22173657104769326,-0.028320344623510605,-0.10969121592660447,0.2237693638203398,0.09662946942122909,0.1683443308714114,-0.028959776447166193,-0.9879503590987858,0.6166231888305419,-0.5999653905237421,-1.9548,-0.466478596233901,-1.2493415601497428,-0.3867315898837297,0.816192660822781,-1.9548,0.26756367710872203
