frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0,-0.016765487813873877,-0.005562078707826771,0.3355573957374106,-0.13264201361390499,-0.023923275842890505,0.9891802310741565,0.05793309545910043,-1.0117447610959294,0.045873243395911756,-0.01779330662563597,1.0512538075435989,-0.16362408505937642,0.10897702844828415,-1.101438787539924,-0.03172720495316408,-0.035409296136660606,1.1773486449290884,-0.15918790106654543,-0.08569489339690117,0.11875996770087388,0.5552791992508237,-0.4041252026538921,-1.6765011255351099,0.4257869584367218,0.21251098781778371,-0.5525278770159612,0.43148623150005916,-1.5886978788812995,-0.3205807435260175
1,-0.018203265595566277,-0.00553888730826275,0.333406287224488,-0.13392882174883594,-0.023843323806473988,0.9889882739576255,0.05828173460996494,-1.0392395190661285,0.04408262326830596,-0.013397585851889608,1.0957671432085472,-0.26057570618030323,0.14231359003359492,-1.1307045095599169,-0.029948456141376978,-0.03075836358615775,1.2248055130625128,-0.28226264697505493,-0.07857945153025522,0.16744737328650705,0.5788530251986858,-0.367803207025122,-1.730268692869827,0.442458317010195,0.2670888862489761,-0.5863443974524359,0.3952482389929877,-1.6499248821437797,-0.3342922162874344
2,-0.018762204697266256,-0.005377727944209186,0.33324559598231435,-0.1350764069743247,-0.02423492169815814,0.9888589399813806,0.057663070227769224,-1.0417320318635692,0.045150021630265366,-0.013271533471808953,1.097108190366691,-0.33839379683827386,0.16259837825293308,-1.12990252063268,-0.030745940595186445,-0.03640486390518315,1.2216206174284487,-0.37615137874921056,-0.07559621996769868,0.17295728576589525,0.5827305985095522,-0.3647112746513136,-1.7372554420260369,0.43997289400640616,0.2735407429960724,-0.5894740909710218,0.39335504031955176,-1.656921662424416,-0.3329094820340802
3,-0.018996104188825073,-0.005255380480926782,0.3332019601603365,-0.13528029034898326,-0.024205015974383293,0.9888491157493593,0.05736537741954147,-1.0437094520758596,0.04566273201028639,-0.012485191774062713,1.1006723198983772,-0.3914612802518189,0.16939727513138395,-1.1296020118808296,-0.031004708599855536,-0.038176547334137584,1.221657107815627,-0.4376913124623206,-0.07712573669639032,0.1750812962505905,0.5840496698031516,-0.3630426014309737,-1.7401969008790086,0.4378315432684385,0.27634110703041037,-0.5918830912397122,0.39459489290950905,-1.6611777517199176,-0.32898843371355607
4,-0.019199480961872135,-0.005135886654778853,0.33323077291881353,-0.13597718553681812,-0.024136763527457333,0.9887711922336951,0.05708897501851113,-1.0461760412406245,0.04574632356314884,-0.012655187928452554,1.10255924951636,-0.4245372938194138,0.16946849912726092,-1.1303411793801192,-0.031389311550022544,-0.03999310072716877,1.2208848002775317,-0.47462577782572235,-0.07898435651850538,0.17543842446423513,0.5853694204824649,-0.3633658846152927,-1.7424616083822733,0.43578542002315596,0.2774561095492337,-0.5942405955020762,0.39778424365035747,-1.6640910349275937,-0.32438109459479086
5,-0.019129435025402614,-0.005174777711691317,0.3332955229860873,-0.136540628427203,-0.024051374990623393,0.9887312362657001,0.05646884612126325,-1.049310809434349,0.04597660995922788,-0.012108015797501833,1.1044349546574883,-0.44179972664975353,0.16615854398491298,-1.1316958545371887,-0.0323436387479109,-0.04155914126064159,1.2200415128879056,-0.4946513682295467,-0.08047075917806183,0.1735875691471372,0.5848545148700356,-0.36428210403559946,-1.7439782199407565,0.43677353588874435,0.277272526281728,-0.5974174536527762,0.4007607738896301,-1.6664427254662892,-0.3191702179300198
6,-0.01909127003869171,-0.0053084716046185925,0.3334414227862441,-0.1372524520457609,-0.02409781947400497,0.9886690260899095,0.05580874801009516,-1.052280885518603,0.04567033990315229,-0.011948979715692632,1.10535089371645,-0.44921077018998007,0.1625285990235936,-1.1322950513541676,-0.03288327014322934,-0.042493311611512714,1.2174984204784538,-0.5054883402679554,-0.0818575254820882,0.17167781968312038,0.5831211061642225,-0.36483035311369055,-1.7441039460894336,0.4374872997046965,0.2773840237870084,-0.6000454132739238,0.40195264160923744,-1.667156560393996,-0.31386623270352954
7,-0.018954208466008333,-0.005491625647836649,0.33369335608548356,-0.13748144871267365,-0.024338169855517653,0.9886824442162484,0.054895621378516904,-1.0541351471309164,0.045459939569204084,-0.012080613257151752,1.1050447941395436,-0.45105318707667386,0.15944148499213812,-1.132192827715137,-0.033748493383478045,-0.04396158926996109,1.2147263093366172,-0.5103168326724965,-0.08276878432759395,0.16882753754814933,0.5826393018429735,-0.3662442182895351,-1.7444704842456187,0.4355823503056196,0.27689595762156,-0.6040949978616597,0.4043192056223801,-1.6683811449017174,-0.30576826345266517
8,-0.018883659034429186,-0.005700490977318393,0.3339926506711337,-0.1381383650448606,-0.02456607257583539,0.9886271858808958,0.054134901109659614,-1.0566284871330567,0.045282241736382574,-0.012521523462212926,1.1043368120672905,-0.44988851820911374,0.15648441316644854,-1.1323125416319482,-0.0341024262272078,-0.04512144656690568,1.2108362980328615,-0.5123354685758396,-0.08299616209819702,0.16584538044278208,0.5831031884425819,-0.36801594372408913,-1.7466101605972932,0.42940722550737115,0.27612326262947895,-0.6094065557655599,0.4063343564843563,-1.6709363548868754,-0.29326670367834073
9,-0.019011144599230194,-0.005843327615128878,0.3342229738468119,-0.13913910266600196,-0.024877190476744512,0.988519282120431,0.05339535915593898,-1.0597725113348304,0.04552060937488811,-0.012827125717002799,1.1038460245381636,-0.44701595885710255,0.153345574531578,-1.1333548027031248,-0.0338150308899369,-0.045637977779412,1.20769675628062,-0.5120813752584653,-0.08240187757121105,0.16428612578685375,0.5849486131102718,-0.3702210062200063,-1.7499103220999834,0.4221124693836158,0.2759582290665909,-0.6145768402330363,0.40960341661955363,-1.6739383397320546,-0.28290450731078504
