root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z,l_hip_pitch_angle,l_hip_roll_angle,l_thigh_angle,l_calf_angle,l_ankle_pitch_angle,l_ankle_roll_angle,l_shoulder_pitch_angle,l_shoulder_roll_angle,l_upper_arm_angle,l_elbow_angle,l_wrist_angle,r_hip_pitch_angle,r_hip_roll_angle,r_thigh_angle,r_calf_angle,r_ankle_pitch_angle,r_ankle_roll_angle,r_shoulder_pitch_angle,r_shoulder_roll_angle,r_upper_arm_angle,r_elbow_angle,r_wrist_angle,l_hip_pitch_angvel,l_hip_roll_angvel,l_thigh_angvel,l_calf_angvel,l_ankle_pitch_angvel,l_ankle_roll_angvel,l_shoulder_pitch_angvel,l_shoulder_roll_angvel,l_upper_arm_angvel,l_elbow_angvel,l_wrist_angvel,r_hip_pitch_angvel,r_hip_roll_angvel,r_thigh_angvel,r_calf_angvel,r_ankle_pitch_angvel,r_ankle_roll_angvel,r_shoulder_pitch_angvel,r_shoulder_roll_angvel,r_upper_arm_angvel,r_elbow_angvel,r_wrist_angvel
-0.258131,2.101713,0.366961,0.044353,0.036848,-0.989197,0.134776,-0.357847,0.449039,-0.005922,-0.648882,0.706811,0.019186,-0.781176,0.179442,0.093055,0.564463,0.147533,0.0,0.223942,0.577932,0.089566,-1.030044,-0.369933,0.031123,0.145763,-0.163215,0.625078,-0.316847,0.0,-0.049144,-0.463654,0.043669,-1.187399,0.342435,-0.652549,-1.05055,-0.16287,-2.752233,3.214517,0.0,0.098315,0.193571,-0.058594,1.716887,-1.682403,0.895144,-0.658816,-0.257607,-5.616132,-4.598649,0.0,-0.89416,0.703121,0.226845,-0.19737,-0.825491
-0.238348,2.089095,0.366437,0.058398,0.044712,-0.988627,0.131176,-0.48616,0.837374,-0.172963,-0.886698,0.674885,-0.668479,-0.79879,0.119665,0.109944,0.436627,0.285364,0.0,0.220925,0.573501,0.087424,-0.970962,-0.405914,0.016382,0.106079,-0.215396,0.495483,-0.460567,0.0,-0.076728,-0.452233,0.067584,-1.18954,0.323092,-1.029351,-3.396477,0.099152,-3.107576,3.307066,0.0,0.315585,0.152782,0.20452,1.783445,-0.051432,-1.25684,-0.753846,-1.299827,-2.399128,-3.149178,0.0,-0.415393,0.542425,1.322177,-0.179591,-0.240305
-0.212498,2.056057,0.35543,0.063773,0.067868,-0.989378,0.111614,-0.444996,1.037543,-0.310292,-1.692883,0.219924,-1.505497,-0.849799,-0.04699,0.099665,0.357292,0.368005,0.0,0.244981,0.588118,0.103201,-0.911148,-0.373362,-0.052666,0.095507,-0.24987,0.465136,-0.526792,0.0,-0.076837,-0.427492,0.131814,-1.199372,0.326415,-1.037091,-4.04111,-0.881345,-1.070239,1.161921,0.0,0.774975,0.204291,0.392928,1.411417,0.93897,-2.085653,0.195529,0.202934,-0.608173,-1.110165,0.0,0.205394,0.682906,1.718396,-0.197947,0.174572
-0.194545,2.027892,0.345751,0.063026,0.098294,-0.990115,0.077706,-0.435636,0.186304,0.138336,0.321042,0.825659,-0.783083,-0.86793,-0.149742,0.051188,0.365278,0.362826,0.0,0.27259,0.587121,0.11362,-0.876868,-0.343316,-0.122662,0.119114,-0.201867,0.454938,-0.534578,0.0,-0.063036,-0.406706,0.182144,-1.202736,0.33473,-0.624342,-0.292262,-1.43933,2.485867,-3.145657,0.0,0.251928,-0.50732,-1.849121,0.842631,3.965907,-2.519652,-0.828718,0.481145,-0.590498,0.755563,0.0,0.229695,-0.700694,1.36326,0.058982,0.505284
-0.181979,2.047914,0.364652,0.093207,0.056355,-0.99014,0.088085,-0.910981,-0.599428,0.493833,1.904905,1.090954,0.434669,-0.891422,-0.066474,0.00371,0.523016,0.158294,0.0,0.261777,0.554296,-0.020074,-0.854972,-0.108968,-0.220643,0.040259,-0.217794,0.425769,-0.476421,0.0,-0.061524,-0.474205,0.222698,-1.19544,0.360101,-0.43776,4.46997,1.519823,4.920377,-3.82929,0.0,-0.057971,-0.712797,-3.715909,0.084614,4.2942,-3.704934,-1.825885,-0.587504,-0.530222,3.101181,0.0,0.455415,-1.326681,0.1648,0.878669,0.155405
-0.141345,2.077441,0.378673,0.103003,0.039409,-0.988862,0.099945,-0.921182,-0.52096,0.348808,1.119948,0.529585,-0.011626,-0.897114,0.148256,0.152509,0.693303,0.10754,0.0,0.268725,0.539601,-0.134108,-0.871227,-0.057036,-0.369657,-0.002611,-0.241034,0.41959,-0.327833,0.0,-0.032675,-0.495151,0.19313,-1.144159,0.345091,0.207386,5.779223,2.585448,7.437773,-3.025465,0.0,-0.302049,-0.485655,-3.345905,-0.029652,1.09646,-3.052292,-1.061462,-0.175067,-0.588483,3.250222,0.0,1.101194,-0.712774,-0.84958,1.328617,-0.864988
-0.128468,2.093895,0.387906,0.114535,0.021246,-0.988912,0.092104,-0.538549,-0.120934,0.199888,0.944617,0.378496,-0.745265,-0.877596,0.318807,0.176073,1.018868,-0.043404,0.0,0.24164,0.521919,-0.243134,-0.856949,-0.03587,-0.424129,-0.030505,-0.229465,0.386537,-0.25974,0.0,0.011889,-0.521724,0.16606,-1.106866,0.302435,0.894094,2.547106,-0.504248,7.838639,-2.746048,0.0,-0.557219,-0.535679,-2.374697,0.20394,-0.308527,-1.911772,-0.941661,0.634501,-0.77496,2.120756,0.0,1.304387,-0.555317,-0.871745,1.383776,-1.039166
-0.107512,2.09191,0.391999,0.118962,0.00667,-0.989731,0.078965,-0.575674,0.221405,0.057799,0.630596,0.147697,-0.879842,-0.837508,0.318063,0.118893,1.215879,-0.07553,0.0,0.231577,0.503889,-0.292421,-0.857631,-0.077604,-0.497109,-0.065389,-0.198734,0.367926,-0.186449,0.0,0.054285,-0.532172,0.135014,-1.051907,0.275813,1.612999,-0.691067,-1.59605,5.117778,-1.232894,0.0,-0.347208,-0.421264,-0.889093,-0.005835,-1.188556,-2.189945,-0.875614,0.99201,-0.333601,1.939905,0.0,1.359889,-0.181307,-1.032409,1.590091,-0.739886
-0.088229,2.085434,0.391759,0.121358,-0.002625,-0.990441,0.065507,-0.47463,0.227415,-0.04674,0.343267,0.069797,-0.793887,-0.770063,0.272736,0.069669,1.360053,-0.125597,0.0,0.218493,0.493835,-0.302407,-0.857338,-0.115108,-0.570126,-0.088879,-0.163331,0.364297,-0.130413,0.0,0.102548,-0.533811,0.097232,-1.00086,0.253109,2.817824,-1.112639,-1.303807,2.967017,-1.556158,0.0,-0.325189,-0.024719,0.207267,-0.118876,-0.798547,-2.097222,-0.513851,0.99303,0.318472,1.21638,0.0,1.52919,0.102434,-1.231421,1.529581,-0.801287
-0.07412,2.081137,0.388883,0.12202,-0.007695,-0.991023,0.054081,-0.492087,0.194135,-0.113536,0.199655,-0.0777,-0.552903,-0.649653,0.243887,0.031972,1.41368,-0.179274,0.0,0.209898,0.502241,-0.278603,-0.865556,-0.130841,-0.636924,-0.099646,-0.132532,0.389157,-0.105357,0.0,0.156231,-0.525343,0.052919,-0.949935,0.222394,4.068401,-0.636754,0.12716,0.009561,-1.147993,0.0,-0.122946,0.580984,0.918563,-0.510971,-0.275474,-2.181202,-0.32634,0.783267,0.862573,1.024059,0.0,1.650611,0.324463,-1.344122,1.699329,-1.324026
