root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z,l_hip_pitch_angle,l_hip_roll_angle,l_thigh_angle,l_calf_angle,l_ankle_pitch_angle,l_ankle_roll_angle,l_shoulder_pitch_angle,l_shoulder_roll_angle,l_upper_arm_angle,l_elbow_angle,l_wrist_angle,r_hip_pitch_angle,r_hip_roll_angle,r_thigh_angle,r_calf_angle,r_ankle_pitch_angle,r_ankle_roll_angle,r_shoulder_pitch_angle,r_shoulder_roll_angle,r_upper_arm_angle,r_elbow_angle,r_wrist_angle,l_hip_pitch_angvel,l_hip_roll_angvel,l_thigh_angvel,l_calf_angvel,l_ankle_pitch_angvel,l_ankle_roll_angvel,l_shoulder_pitch_angvel,l_shoulder_roll_angvel,l_upper_arm_angvel,l_elbow_angvel,l_wrist_angvel,r_hip_pitch_angvel,r_hip_roll_angvel,r_thigh_angvel,r_calf_angvel,r_ankle_pitch_angvel,r_ankle_roll_angvel,r_shoulder_pitch_angvel,r_shoulder_roll_angvel,r_upper_arm_angvel,r_elbow_angvel,r_wrist_angvel
0.006298,0.00711,0.375797,-0.007682,-0.00741,0.584865,0.811061,-0.011828,-0.021278,-0.00897,-0.023493,0.041325,-0.053559,-0.197419,-0.057402,-0.227003,0.369405,-0.250159,0.028556,0.017302,0.331897,-0.64206,-0.462405,0.010052,-0.301561,0.058584,0.160548,0.548895,-0.224736,0.083172,0.062945,-0.354665,0.743379,-0.586436,0.010341,-0.127701,0.09717,0.146401,0.115881,-0.130483,-0.023238,0.013173,0.059147,0.12249,0.014165,0.070669,0.016093,0.109571,0.019704,-0.179474,-0.131547,-0.139175,-0.039969,0.072846,-0.13792,0.032143,-0.146919
0.006698,0.006701,0.375611,-0.008223,-0.007054,0.584266,0.81149,-0.014833,-0.024961,-0.010103,-0.022203,0.075607,-0.071063,-0.200678,-0.055237,-0.223717,0.372039,-0.252877,0.02829,0.017874,0.333365,-0.639066,-0.46224,0.012048,-0.302694,0.061122,0.160734,0.546928,-0.226985,0.080304,0.062167,-0.352965,0.740422,-0.586019,0.007282,-0.219934,0.103252,0.188081,0.185318,-0.137595,-0.004696,0.033092,0.065554,0.14869,-0.030806,0.122458,-0.12455,0.12817,-0.006857,-0.028163,-0.088007,-0.165411,-0.013012,0.056358,-0.180778,-0.009495,-0.182393
0.007056,0.00623,0.375393,-0.008936,-0.006431,0.583723,0.811878,-0.026543,-0.032375,-0.008748,-0.008856,0.096093,-0.049308,-0.206216,-0.053272,-0.21948,0.376817,-0.255663,0.028368,0.018626,0.334519,-0.636112,-0.463637,0.01495,-0.306543,0.06371,0.160273,0.547768,-0.228256,0.076556,0.062424,-0.352411,0.736148,-0.586816,0.003045,-0.338743,0.102359,0.187107,0.280323,-0.134718,0.018429,-0.007117,0.071903,0.19959,-0.056964,0.150002,-0.242696,0.155128,0.004244,0.06591,-0.062875,-0.202014,0.003285,0.025435,-0.215756,-0.043002,-0.202871
0.007587,0.005282,0.375261,-0.009494,-0.005588,0.583481,0.812052,-0.037249,-0.040768,-0.006042,-0.001863,0.086307,-0.060604,-0.214227,-0.051143,-0.216233,0.383252,-0.258266,0.029027,0.01759,0.336241,-0.631082,-0.464518,0.018048,-0.312402,0.067327,0.160904,0.549565,-0.2295,0.072224,0.062298,-0.351947,0.731791,-0.587739,-0.000833,-0.46001,0.091069,0.182893,0.442162,-0.112271,0.023863,-0.006049,0.081169,0.256508,-0.071784,0.144612,-0.335297,0.200171,0.044625,0.171612,-0.040913,-0.210759,0.046273,-0.021721,-0.219135,-0.062166,-0.209158
0.008127,0.004298,0.375151,-0.009981,-0.00504,0.582753,0.812573,-0.047023,-0.041154,-0.006338,0.011794,0.087149,-0.059452,-0.224616,-0.049629,-0.212164,0.394504,-0.260154,0.029323,0.018384,0.337765,-0.625852,-0.466508,0.020735,-0.319955,0.071717,0.162058,0.554632,-0.229893,0.068126,0.064275,-0.35328,0.727383,-0.589302,-0.005321,-0.640004,0.038239,0.175378,0.693415,-0.083083,0.00997,-0.000811,0.028253,0.304825,-0.068315,0.111199,-0.433939,0.219391,0.095199,0.278444,-0.026483,-0.223635,0.118057,-0.125378,-0.219202,-0.047487,-0.184522
0.008543,0.002972,0.375008,-0.010324,-0.004023,0.58253,0.812734,-0.068025,-0.034145,-0.011686,0.027061,0.10917,-0.068315,-0.239828,-0.049613,-0.209218,0.410989,-0.261589,0.029426,0.017557,0.337371,-0.618889,-0.467251,0.022496,-0.32976,0.076103,0.164711,0.560702,-0.230559,0.063278,0.06702,-0.356963,0.723023,-0.589639,-0.008214,-1.020198,-0.075081,0.167129,1.200258,0.007228,-0.02332,-0.011299,-0.028466,0.397692,-0.087827,0.09739,-0.60536,0.20313,0.140067,0.407002,-0.058938,-0.256985,0.201275,-0.249046,-0.201495,-0.077843,-0.172733
0.008546,0.001282,0.374684,-0.010819,-0.002936,0.581662,0.813353,-0.113526,-0.024969,-0.019893,0.031368,0.115808,-0.05654,-0.265424,-0.052632,-0.205479,0.442514,-0.259864,0.02839,0.017932,0.336627,-0.609944,-0.470021,0.02463,-0.344169,0.079842,0.167661,0.570913,-0.23225,0.057846,0.072326,-0.363241,0.719323,-0.592416,-0.012231,-1.624114,-0.223145,0.146422,1.930281,0.188047,-0.110268,0.016981,0.022399,0.53619,-0.193105,0.076328,-0.860533,0.194198,0.188091,0.603153,-0.141638,-0.260358,0.29174,-0.353451,-0.223008,-0.226384,-0.165213
0.00802,-0.001648,0.374212,-0.011162,-0.001761,0.581631,0.813374,-0.182171,-0.014238,-0.033003,0.073423,0.173173,0.027281,-0.304792,-0.058539,-0.203361,0.4882,-0.254067,0.025015,0.018236,0.338267,-0.597442,-0.474975,0.025549,-0.364181,0.083871,0.172235,0.584829,-0.236224,0.052864,0.07869,-0.371101,0.714103,-0.598694,-0.014823,-2.569536,-0.390959,0.183739,2.939737,0.632125,-0.348875,0.025868,0.081718,0.775017,-0.271492,0.003568,-1.189866,0.136027,0.214218,0.774476,-0.330832,-0.273213,0.326804,-0.463519,-0.274468,-0.421268,-0.098618
0.006728,-0.005797,0.373364,-0.011637,0.000729,0.582137,0.813007,-0.279797,0.016875,-0.023329,0.158064,0.291772,0.21233,-0.368206,-0.068271,-0.198129,0.560104,-0.234579,0.014435,0.018966,0.339896,-0.578944,-0.480881,0.024773,-0.391764,0.085283,0.17623,0.601892,-0.245484,0.046918,0.085398,-0.381782,0.708344,-0.609267,-0.016175,-4.054218,-0.654195,0.39563,4.542456,1.537449,-0.865391,-0.04867,0.038932,1.015855,-0.283149,-0.111561,-1.662816,-0.044248,0.179584,1.022512,-0.592023,-0.291083,0.314362,-0.702383,-0.432942,-0.667441,-0.037426
0.003774,-0.012025,0.373279,-0.011985,0.004776,0.585129,0.810837,-0.285572,0.084746,-0.040776,0.238367,0.314892,0.450679,-0.466961,-0.084707,-0.187536,0.669898,-0.192569,-0.009601,0.01629,0.339824,-0.556808,-0.486301,0.021086,-0.430693,0.082101,0.179418,0.625729,-0.259905,0.041221,0.091264,-0.399196,0.696785,-0.625392,-0.01632,-5.575118,-0.781712,0.872107,6.132202,2.298839,-1.179516,-0.128487,-0.042055,1.099949,-0.177801,-0.153303,-1.818714,-0.319019,0.034436,1.39378,-0.558554,-0.265272,0.339148,-0.939202,-0.648701,-0.716008,0.009568
-9e-05,-0.015569,0.371733,-0.01149,0.008521,0.589496,0.807645,-0.301368,0.140506,-0.120131,0.380735,0.189705,0.657501,-0.59121,-0.099539,-0.163245,0.805392,-0.142626,-0.032746,0.013827,0.338213,-0.534946,-0.487993,0.018641,-0.464512,0.072523,0.177607,0.657643,-0.267826,0.036307,0.098964,-0.41935,0.682396,-0.637907,-0.015793,-7.411746,-0.844489,1.521878,8.05419,1.930729,-0.491915,-0.158028,-0.234715,1.219314,0.082209,0.120239,-1.650796,-0.566966,0.168423,1.269256,-0.305925,-0.50454,0.474599,-1.153413,-0.94579,-0.63557,-0.200064
