root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z,l_hip_pitch_angle,l_hip_roll_angle,l_thigh_angle,l_calf_angle,l_ankle_pitch_angle,l_ankle_roll_angle,l_shoulder_pitch_angle,l_shoulder_roll_angle,l_upper_arm_angle,l_elbow_angle,l_wrist_angle,r_hip_pitch_angle,r_hip_roll_angle,r_thigh_angle,r_calf_angle,r_ankle_pitch_angle,r_ankle_roll_angle,r_shoulder_pitch_angle,r_shoulder_roll_angle,r_upper_arm_angle,r_elbow_angle,r_wrist_angle,l_hip_pitch_angvel,l_hip_roll_angvel,l_thigh_angvel,l_calf_angvel,l_ankle_pitch_angvel,l_ankle_roll_angvel,l_shoulder_pitch_angvel,l_shoulder_roll_angvel,l_upper_arm_angvel,l_elbow_angvel,l_wrist_angvel,r_hip_pitch_angvel,r_hip_roll_angvel,r_thigh_angvel,r_calf_angvel,r_ankle_pitch_angvel,r_ankle_roll_angvel,r_shoulder_pitch_angvel,r_shoulder_roll_angvel,r_upper_arm_angvel,r_elbow_angvel,r_wrist_angvel
-0.007292,0.004989,0.378747,-0.039678,0.003628,0.808089,0.587711,0.002276,0.024409,0.002462,-0.081696,0.041204,0.118965,-0.32272,-0.031369,-0.196983,0.339117,-0.248121,0.046843,0.01719,0.351808,-0.642064,-0.540636,-0.001433,-0.357728,0.084573,0.044218,0.402176,-0.274382,0.088906,0.033595,-0.345954,0.651587,-0.53542,0.055,-0.177062,-0.044332,-0.120377,0.235929,-0.026831,0.009503,-0.016481,-0.022036,-0.086474,-0.072078,0.145359,-0.197861,0.03688,0.031434,0.291488,0.034247,0.090544,0.055661,-0.047876,-0.108347,0.107687,-0.174817
-0.007948,0.004898,0.378787,-0.041167,0.002974,0.808641,0.586852,0.012292,0.019363,0.002116,-0.122876,0.105296,0.131027,-0.326824,-0.031867,-0.201136,0.343252,-0.249191,0.047654,0.01743,0.351308,-0.642353,-0.542583,0.003595,-0.363324,0.086399,0.045275,0.409109,-0.273767,0.091062,0.03451,-0.3473,0.652006,-0.533443,0.051589,-0.234123,-0.011772,-0.234961,0.249858,-0.038539,0.023846,0.045008,0.054975,-0.063246,-0.103762,0.206689,-0.377429,0.132776,0.05204,0.539416,0.019219,0.11569,0.066038,-0.006626,0.005856,0.053476,-0.181463
-0.008181,0.005218,0.378832,-0.042833,0.002774,0.809499,0.58555,0.027465,-0.003854,0.000891,-0.119378,0.144682,0.146395,-0.332085,-0.03184,-0.206382,0.349111,-0.249663,0.047797,0.01899,0.354007,-0.644594,-0.544787,0.006834,-0.372825,0.089884,0.046299,0.423753,-0.273613,0.093533,0.036237,-0.346219,0.651821,-0.533281,0.047742,-0.246688,0.040622,-0.267018,0.263275,-0.0353,0.00448,0.188387,0.183553,-0.026472,-0.079467,0.146877,-0.661427,0.227158,0.005417,1.087445,-0.006843,0.142338,0.124046,0.132657,-0.051727,0.004664,-0.170751
-0.008144,0.00599,0.378822,-0.044916,0.002616,0.810214,0.584405,0.040999,-0.022827,-0.001994,-0.155593,0.180489,0.144965,-0.336692,-0.030242,-0.211817,0.353783,-0.250603,0.047833,0.024965,0.35865,-0.643412,-0.545762,0.00947,-0.389781,0.095486,0.045492,0.452607,-0.274041,0.096756,0.039471,-0.341993,0.649937,-0.533257,0.044758,-0.255798,0.136904,-0.275228,0.238531,-0.058488,-0.00907,0.364622,0.301745,-0.001434,-0.029514,0.17355,-1.118353,0.365298,-0.058795,1.900367,-0.02505,0.17662,0.141442,0.275011,-0.05415,0.032548,-0.134855
-0.007828,0.007062,0.378752,-0.047584,0.002241,0.811002,0.5831,0.037613,-0.044965,-0.005638,-0.147268,0.212939,0.117925,-0.342317,-0.026364,-0.217391,0.358652,-0.252003,0.047434,0.033575,0.366077,-0.644652,-0.545967,0.013776,-0.417559,0.104496,0.043947,0.499767,-0.274615,0.100598,0.041895,-0.335218,0.649655,-0.531979,0.042348,-0.247221,0.229932,-0.217896,0.086417,-0.137432,-0.045708,0.461436,0.364209,-0.112646,0.027483,0.130621,-1.889281,0.461813,-0.159608,3.108657,0.101278,0.216154,0.055312,0.357627,-0.264783,-0.022656,-0.075046
-0.006913,0.007986,0.378597,-0.050094,0.002607,0.811385,0.582356,0.015737,-0.07976,-0.033257,-0.110219,0.271397,-0.000785,-0.34658,-0.021045,-0.220533,0.35724,-0.2561,0.046005,0.043423,0.373219,-0.647918,-0.544662,0.014695,-0.465352,0.113958,0.039108,0.576953,-0.269989,0.105402,0.041684,-0.327688,0.639345,-0.534163,0.041757,-0.259109,0.34259,-0.276442,-0.125834,-0.176148,-0.050663,0.457629,0.337868,-0.177529,0.095706,0.056533,-3.186594,0.484798,-0.568867,4.892326,0.265874,0.276528,-0.095722,0.364501,-0.564821,-0.28891,2.1e-05
-0.005003,0.008672,0.377422,-0.05327,0.003622,0.810788,0.5829,-0.01422,-0.095045,-0.121967,-0.210059,0.251599,-0.241107,-0.352682,-0.01266,-0.228449,0.353619,-0.259048,0.045407,0.05188,0.379592,-0.651753,-0.542139,0.016038,-0.545023,0.123888,0.021193,0.69546,-0.26398,0.111659,0.038066,-0.320638,0.627062,-0.543535,0.042349,-0.281696,0.510739,-0.316026,-0.173221,-0.14606,0.053716,0.401667,0.288416,-0.35554,0.053398,-0.026271,-4.898634,0.375457,-1.05118,7.224628,0.607995,0.263788,-0.20591,0.315347,-0.81139,-0.419616,0.195763
-0.003127,0.008648,0.373718,-0.056611,0.002397,0.808262,0.586091,-0.043196,-0.093374,-0.200141,-0.347263,0.130994,-0.550856,-0.357848,-0.000615,-0.233174,0.350311,-0.261943,0.048153,0.05949,0.384755,-0.662139,-0.542526,0.013644,-0.661298,0.128976,-0.002939,0.865938,-0.24567,0.115953,0.033448,-0.315075,0.60689,-0.550948,0.049587,-0.156182,0.70038,-0.039488,-0.278765,-0.074584,0.151799,0.288738,0.414784,-0.574551,-0.210344,-0.315901,-6.564636,-0.01372,-1.582415,9.735897,1.367122,0.309355,-0.074229,0.283425,-0.966011,-0.410258,0.33083
-0.000918,0.008179,0.369416,-0.059443,0.000174,0.803898,0.591789,-0.063681,-0.099195,-0.117947,-0.399258,-0.020436,-0.790803,-0.358929,0.015355,-0.230028,0.342468,-0.262032,0.051479,0.06343,0.396183,-0.674735,-0.550553,0.003401,-0.807608,0.123339,-0.042104,1.084896,-0.209295,0.124033,0.035097,-0.309301,0.588422,-0.559945,0.055582,0.20593,0.904491,0.418789,-0.686654,0.135919,0.151444,0.178361,0.663464,-0.704288,-0.304249,-0.443687,-7.392255,-0.567919,-2.314288,10.573469,1.588633,0.411963,0.096077,0.35843,-0.957285,-0.335996,0.169475
0.001414,0.007379,0.369,-0.061032,-0.003323,0.798447,0.598955,-0.038276,-0.084131,-0.005026,-0.493716,-0.028387,-0.851865,-0.349611,0.035564,-0.216422,0.322845,-0.256506,0.054211,0.066624,0.411294,-0.690311,-0.554696,-0.004103,-0.956988,0.10626,-0.095511,1.288877,-0.182124,0.132432,0.037291,-0.300737,0.568598,-0.564387,0.056366,0.458676,1.081924,0.706793,-0.955601,0.396177,0.08118,0.160021,0.698062,-0.803664,-0.041346,-0.321003,-7.142157,-0.956891,-2.405729,9.065258,0.593761,0.058243,0.095036,0.386763,-1.058949,-0.117102,-0.058844
0.002739,0.007637,0.369215,-0.064994,-0.006968,0.793106,0.605566,0.004524,-0.064567,0.024096,-0.594693,0.052989,-0.896762,-0.340582,0.058632,-0.201756,0.304244,-0.246185,0.054727,0.06983,0.424105,-0.706881,-0.552207,-0.009439,-1.093295,0.085064,-0.138333,1.447506,-0.185545,0.126363,0.038898,-0.293831,0.546064,-0.564629,0.053228,0.426975,1.206918,0.871017,-0.77675,0.479676,-0.035793,0.222726,0.598045,-0.75166,0.105728,-0.226943,-6.403745,-1.176151,-1.972236,7.071334,-0.762224,-0.600186,0.119548,0.301996,-1.341153,-0.13876,-0.219925
0.003862,0.008224,0.369964,-0.069234,-0.010917,0.786795,0.613222,-0.024739,-0.093572,0.046293,-0.487108,-0.021214,-0.925696,-0.332532,0.083841,-0.181581,0.291775,-0.237319,0.05278,0.075533,0.435216,-0.720377,-0.550467,-0.013181,-1.213138,0.059214,-0.1744,1.57173,-0.212613,0.108424,0.042073,-0.288657,0.514952,-0.569938,0.047569,0.214414,1.189619,0.941309,-0.319084,0.450179,-0.250906,0.223999,0.591678,-0.267782,0.003339,0.031081,-5.290628,-1.357171,-1.33243,5.147162,-1.705183,-1.065597,0.185849,0.208465,-1.510825,-0.361677,-0.410346
0.00661,0.007572,0.371067,-0.070867,-0.013606,0.781095,0.620229,-0.050384,-0.097429,0.057526,-0.405374,-0.077322,-0.895817,-0.332005,0.106217,-0.164104,0.291481,-0.228178,0.04469,0.07879,0.447773,-0.717593,-0.552073,-0.008195,-1.30492,0.030777,-0.19163,1.653393,-0.253752,0.083739,0.046332,-0.285492,0.485631,-0.579097,0.036814,0.05176,1.084578,0.932229,-0.055463,0.298776,-0.466199,0.239693,0.49988,0.031107,-0.157108,0.36496,-4.246689,-1.244584,-0.374401,3.60954,-1.986833,-1.284632,0.257481,0.2105,-1.414923,-0.346798,-0.611047
0.008109,0.007122,0.372265,-0.07334,-0.016912,0.775097,0.627344,-0.022346,-0.084189,0.06426,-0.408382,-0.091284,-0.840699,-0.330462,0.127224,-0.144292,0.289556,-0.225368,0.034132,0.085121,0.455211,-0.719133,-0.556752,0.001417,-1.383005,0.00943,-0.189376,1.716112,-0.292087,0.057039,0.052372,-0.280237,0.458355,-0.58381,0.023127,0.12347,1.034948,0.854774,-0.002104,0.135307,-0.621171,0.243785,0.420587,-0.012536,-0.13001,0.603012,-3.309265,-1.165492,0.445719,2.506821,-1.777458,-1.277394,0.202913,0.245508,-1.122614,-0.16323,-0.511891
0.010089,0.007381,0.373637,-0.074904,-0.019833,0.769942,0.633392,-0.030419,-0.127614,0.066094,-0.285503,-0.096852,-0.814292,-0.327067,0.147615,-0.129913,0.291397,-0.222765,0.019843,0.088542,0.464596,-0.718094,-0.557273,0.015925,-1.43729,-0.015843,-0.173801,1.753666,-0.32485,0.032643,0.054449,-0.275672,0.440726,-0.585626,0.016339,0.072307,0.957683,0.451831,0.136356,0.087391,-0.769089,0.037267,0.511348,0.190569,0.014958,1.033217,-2.363157,-1.169555,1.471138,1.043238,-1.440024,-1.218521,-0.008582,0.264754,-0.625033,0.023223,-0.318156
0.013351,0.006882,0.374909,-0.075807,-0.021309,0.764328,0.640001,-0.036726,-0.17474,0.063158,-0.148192,-0.147481,-0.671033,-0.327569,0.165532,-0.126219,0.29501,-0.221872,0.003368,0.086611,0.475665,-0.71151,-0.556153,0.042746,-1.477532,-0.037352,-0.130531,1.757841,-0.349688,0.008298,0.052028,-0.269647,0.433354,-0.582881,0.010401,0.049149,0.868558,0.121595,0.304777,0.171302,-0.974621,-0.051578,0.556228,0.20609,-0.025725,1.451574,-1.274762,-1.277311,2.395422,-0.467727,-0.900576,-0.997487,0.068581,0.325746,-0.458521,0.178481,-0.509163
