root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z,l_hip_pitch_angle,l_hip_roll_angle,l_thigh_angle,l_calf_angle,l_ankle_pitch_angle,l_ankle_roll_angle,l_shoulder_pitch_angle,l_shoulder_roll_angle,l_upper_arm_angle,l_elbow_angle,l_wrist_angle,r_hip_pitch_angle,r_hip_roll_angle,r_thigh_angle,r_calf_angle,r_ankle_pitch_angle,r_ankle_roll_angle,r_shoulder_pitch_angle,r_shoulder_roll_angle,r_upper_arm_angle,r_elbow_angle,r_wrist_angle,l_hip_pitch_angvel,l_hip_roll_angvel,l_thigh_angvel,l_calf_angvel,l_ankle_pitch_angvel,l_ankle_roll_angvel,l_shoulder_pitch_angvel,l_shoulder_roll_angvel,l_upper_arm_angvel,l_elbow_angvel,l_wrist_angvel,r_hip_pitch_angvel,r_hip_roll_angvel,r_thigh_angvel,r_calf_angvel,r_ankle_pitch_angvel,r_ankle_roll_angvel,r_shoulder_pitch_angvel,r_shoulder_roll_angvel,r_upper_arm_angvel,r_elbow_angvel,r_wrist_angvel
1.045775,1.751817,0.366469,0.239727,-0.04808,-0.94914,-0.198373,0.535164,-0.136019,0.20297,0.343405,0.400247,2.000169,-1.141093,0.237835,0.132259,1.600343,-0.121827,0.0,0.25663,0.470387,-0.199443,-1.80419,-0.519802,-0.839792,-0.06518,-0.197248,0.771754,-0.418745,0.0,-0.002722,-0.413586,0.115629,-1.671032,0.329474,-2.084708,-1.034196,-0.759438,-5.617781,1.769195,0.0,1.590534,1.345866,0.895392,-1.935724,3.894096,3.198908,-0.327747,-2.013266,-2.244287,0.56974,0.0,0.025583,-0.873056,1.167129,-2.552888,-1.887684
1.030203,1.764584,0.373875,0.244473,-0.04631,-0.954452,-0.164649,0.55208,-0.156769,0.182997,0.305942,0.252031,1.94032,-1.183851,0.202279,0.101475,1.384429,-0.055912,0.0,0.318104,0.518424,-0.168823,-1.864886,-0.439229,-0.718686,-0.067465,-0.269452,0.688878,-0.378657,0.0,0.012514,-0.452406,0.155136,-1.7618,0.259666,-0.816907,-1.43977,-0.678102,-7.183514,2.166251,0.0,1.620254,1.103172,0.997078,-1.226354,1.835906,3.147718,0.078046,-2.032794,-1.797914,1.749504,0.0,0.687515,-1.347625,1.24098,-2.596749,-1.693494
1.014547,1.773923,0.378669,0.249067,-0.043357,-0.958213,-0.133842,0.54045,-0.036763,0.075529,0.153063,0.261585,1.600691,-1.195554,0.141851,0.087052,1.121442,0.02259,0.0,0.364647,0.543932,-0.132971,-1.885946,-0.397408,-0.629944,-0.059977,-0.332767,0.651893,-0.302112,0.0,0.043112,-0.503428,0.198361,-1.844149,0.216574,-0.011208,-2.371751,-0.432415,-8.323546,2.20394,0.0,1.274164,0.363112,1.424717,-0.361269,0.897328,2.151029,0.223345,-1.606065,-0.37855,2.253342,0.0,1.080779,-1.67635,1.278674,-2.486988,-0.873023
0.996163,1.776647,0.37891,0.254478,-0.038976,-0.959774,-0.112055,0.629085,0.025753,-0.048348,0.156973,0.23017,0.97165,-1.184598,0.044163,0.072648,0.829526,0.091018,0.0,0.403049,0.542632,-0.073842,-1.88897,-0.379407,-0.575284,-0.052575,-0.376523,0.663641,-0.228434,0.0,0.084566,-0.564163,0.24038,-1.927599,0.201465,0.699633,-2.740767,-0.678554,-8.161914,1.241495,0.0,1.119631,-0.724406,1.988356,-0.057268,0.511662,1.568526,0.178041,-0.957569,0.924801,1.558488,0.0,1.383274,-2.247994,1.211723,-2.337758,-0.512521
0.973297,1.781688,0.375446,0.257277,-0.040963,-0.960139,-0.10131,0.660484,-0.040516,-0.133478,0.333245,0.039731,0.618423,-1.148912,-0.040867,0.041815,0.577314,0.105356,0.0,0.439289,0.495638,-0.000414,-1.889764,-0.363297,-0.525376,-0.048107,-0.396605,0.713546,-0.198212,0.0,0.135331,-0.653294,0.279143,-1.999999,0.182406,1.090914,-2.065292,-0.486986,-5.959007,0.324874,0.0,1.133342,-1.614507,1.980232,-0.250084,0.558562,1.259393,-0.035632,-0.516127,2.194639,0.474505,0.0,0.873817,-2.412795,1.213272,-1.086019,-0.404682
0.953568,1.788126,0.370011,0.255567,-0.044522,-0.961622,-0.089369,0.466057,-0.207855,-0.147733,0.404122,-0.228064,0.833582,-1.11187,-0.093524,0.040182,0.432259,0.112676,0.0,0.478605,0.434998,0.058174,-1.905643,-0.34217,-0.491324,-0.05495,-0.410932,0.80995,-0.196801,0.0,0.142821,-0.725016,0.321265,-2.0,0.174486,0.99318,-0.618874,0.121462,-2.687467,0.510491,0.0,1.025038,-1.60791,1.417986,-0.624605,0.713671,0.63663,-0.089323,-0.73308,3.331581,0.125484,0.0,0.065025,-1.604267,1.034294,-1.2e-05,-0.414526
0.945076,1.800687,0.365597,0.250081,-0.046271,-0.964501,-0.071106,0.307842,-0.404009,-0.079729,0.402134,-0.443048,0.962578,-1.0827,-0.082125,0.049912,0.39815,0.139389,0.0,0.507625,0.388444,0.094118,-1.931405,-0.315719,-0.482934,-0.054062,-0.445477,0.935652,-0.189847,0.0,0.139666,-0.760245,0.348095,-2.0,0.154771,0.639214,0.735195,-0.679001,0.379904,-0.77134,0.0,0.636505,-1.347537,0.82679,-1.142688,0.942659,0.212365,0.04013,-1.024479,3.8786,0.379207,0.0,-0.231543,-0.50348,0.600545,-0.0,-0.352211
0.936742,1.817512,0.364696,0.242067,-0.048678,-0.967486,-0.054826,0.368231,-0.308931,-0.038339,0.112289,-0.471318,0.571374,-1.069256,-0.044511,-0.005085,0.457586,0.061253,0.0,0.521038,0.345162,0.113293,-1.981822,-0.279326,-0.477167,-0.052275,-0.47923,1.068524,-0.17152,0.0,0.127384,-0.758581,0.361302,-2.0,0.151005,0.066783,0.741499,-0.900198,2.980625,-2.685544,0.0,-0.303018,-1.287615,0.506557,-1.028931,0.919954,-0.572068,-0.365132,0.078754,4.924928,0.703381,0.0,-0.442687,0.727205,0.453733,0.0,-0.162652
0.922565,1.823492,0.363041,0.235622,-0.044805,-0.969449,-0.051413,0.666504,-0.052003,-0.034703,-0.430355,0.181027,0.396065,-1.078247,-0.032692,-0.010101,0.596858,-0.039647,0.0,0.487424,0.302603,0.127889,-2.0,-0.254389,-0.521072,-0.078404,-0.440227,1.26398,-0.142955,0.0,0.110153,-0.711765,0.378344,-2.0,0.143928,-0.227882,0.376841,-0.383742,4.159706,-3.532438,0.0,-2.174183,-0.917864,0.218918,-0.272673,0.788364,-1.813769,-0.717044,2.338749,5.431988,0.380649,0.0,-0.488306,2.42482,-0.275569,0.0,-0.507348
0.89279,1.8249,0.362382,0.248949,-0.031767,-0.966915,-0.045726,0.80504,0.084614,0.044842,-0.83991,0.586031,0.477425,-1.084448,-0.019388,-0.030668,0.7349,-0.174243,0.0,0.376093,0.283971,0.127888,-2.0,-0.226768,-0.598085,-0.100078,-0.323314,1.430656,-0.146144,0.0,0.094831,-0.596926,0.34293,-2.0,0.117182,0.453547,0.535884,-0.658488,2.841674,-3.295155,0.0,-3.686491,-0.196142,-0.201853,0.116299,0.055313,-2.187953,-1.309807,2.296963,4.171529,-0.408611,0.0,0.191522,3.97825,-1.772248,0.906995,-2.077809
