root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z,l_hip_pitch_angle,l_hip_roll_angle,l_thigh_angle,l_calf_angle,l_ankle_pitch_angle,l_ankle_roll_angle,l_shoulder_pitch_angle,l_shoulder_roll_angle,l_upper_arm_angle,l_elbow_angle,l_wrist_angle,r_hip_pitch_angle,r_hip_roll_angle,r_thigh_angle,r_calf_angle,r_ankle_pitch_angle,r_ankle_roll_angle,r_shoulder_pitch_angle,r_shoulder_roll_angle,r_upper_arm_angle,r_elbow_angle,r_wrist_angle,l_hip_pitch_angvel,l_hip_roll_angvel,l_thigh_angvel,l_calf_angvel,l_ankle_pitch_angvel,l_ankle_roll_angvel,l_shoulder_pitch_angvel,l_shoulder_roll_angvel,l_upper_arm_angvel,l_elbow_angvel,l_wrist_angvel,r_hip_pitch_angvel,r_hip_roll_angvel,r_thigh_angvel,r_calf_angvel,r_ankle_pitch_angvel,r_ankle_roll_angvel,r_shoulder_pitch_angvel,r_shoulder_roll_angvel,r_upper_arm_angvel,r_elbow_angvel,r_wrist_angvel
-1.233726,-1.539796,0.392447,-0.083258,0.095176,0.77408,0.620331,-0.002567,-0.003495,-0.002959,0.025278,0.010236,0.136121,-0.475829,-0.002758,0.022491,0.166042,0.131255,0.0,-0.149401,0.317674,-0.390927,-0.615206,-0.760644,-0.381764,-0.154383,-0.395502,0.246488,-0.058126,0.0,0.094241,-0.560932,0.46016,-0.856512,0.33891,-0.135652,-0.050848,-0.122421,0.14311,-0.015105,0.0,0.016924,0.004816,0.074957,-0.071082,-0.004771,-0.000234,-0.043358,-0.130131,0.065032,-0.073058,0.0,0.041189,-0.104162,-0.049481,-0.144459,-0.281919
-1.233577,-1.539854,0.392323,-0.083419,0.095542,0.775813,0.618083,-0.00295,-0.004258,-0.004696,0.035857,0.030548,0.194056,-0.481561,-0.004887,0.017486,0.171998,0.130608,0.0,-0.148944,0.316842,-0.389169,-0.617489,-0.760447,-0.382151,-0.156307,-0.400818,0.24966,-0.061243,0.0,0.096042,-0.565589,0.460227,-0.862503,0.337833,-0.219841,-0.072386,-0.172384,0.226786,-0.030072,0.0,-0.001028,-0.049108,0.035586,-0.057768,-0.00584,-0.028953,-0.067053,-0.183218,0.119563,-0.10859,0.0,0.056626,-0.131091,0.018518,-0.176173,0.048991
-1.233404,-1.539922,0.392134,-0.083937,0.096192,0.778032,0.615116,-0.003179,-0.004736,-0.006937,0.042542,0.058692,0.246118,-0.490485,-0.007584,0.010999,0.181161,0.12925,0.0,-0.149469,0.3144,-0.388554,-0.619057,-0.761034,-0.383694,-0.158853,-0.407717,0.254458,-0.065365,0.0,0.098016,-0.569671,0.461394,-0.868257,0.342176,-0.320272,-0.091419,-0.218943,0.328858,-0.054364,0.0,-0.03629,-0.059397,0.004034,-0.030634,0.013047,-0.065437,-0.084492,-0.230336,0.167479,-0.139862,0.0,0.05132,-0.097891,0.056395,-0.154926,0.105352
-1.23322,-1.539985,0.39186,-0.084873,0.097155,0.780718,0.611422,-0.002957,-0.005757,-0.009517,0.051635,0.089477,0.300434,-0.502912,-0.010982,0.00289,0.193922,0.126984,0.0,-0.151363,0.312882,-0.3889,-0.619531,-0.759577,-0.386514,-0.16194,-0.416174,0.260825,-0.070567,0.0,0.099464,-0.572115,0.463987,-0.872832,0.344857,-0.427106,-0.111686,-0.268442,0.439318,-0.082225,0.0,-0.078001,-0.034177,0.001423,0.001412,0.019624,-0.104569,-0.106009,-0.277839,0.220391,-0.177321,0.0,0.027823,-0.055203,0.097191,-0.131359,0.089357
-1.232984,-1.540019,0.3915,-0.086206,0.098499,0.783908,0.606922,-0.004275,-0.006592,-0.012675,0.081115,0.116962,0.370028,-0.518959,-0.015029,-0.006897,0.210449,0.123768,0.0,-0.154669,0.312121,-0.388459,-0.618963,-0.759725,-0.390666,-0.16592,-0.426239,0.269151,-0.077187,0.0,0.099871,-0.573351,0.467873,-0.877014,0.348134,-0.55819,-0.163845,-0.304815,0.598185,-0.102393,0.0,-0.129238,-0.070739,0.041195,0.04566,-0.021379,-0.151033,-0.157961,-0.334032,0.299907,-0.229158,0.0,0.073026,-0.084834,0.089857,-0.1812,0.073479
-1.232722,-1.540148,0.391015,-0.087534,0.100569,0.787894,0.601204,-0.008428,-0.005953,-0.017493,0.112902,0.158992,0.46571,-0.540125,-0.021905,-0.017431,0.233801,0.120157,0.0,-0.159979,0.308166,-0.386154,-0.616487,-0.761002,-0.396582,-0.172471,-0.438443,0.280819,-0.085844,0.0,0.104332,-0.577771,0.469977,-0.884912,0.349756,-0.721935,-0.23451,-0.365602,0.748655,-0.100646,0.0,-0.195492,-0.141266,0.086797,0.079814,0.010067,-0.219098,-0.219846,-0.414664,0.389669,-0.281848,0.0,0.146101,-0.144297,0.051806,-0.251686,0.055641
-1.232449,-1.540452,0.390334,-0.089724,0.103273,0.792804,0.593924,-0.014912,-0.00432,-0.023157,0.131864,0.215567,0.589828,-0.567088,-0.030663,-0.031271,0.26036,0.117058,0.0,-0.167702,0.302704,-0.382673,-0.613642,-0.759054,-0.405272,-0.180577,-0.453884,0.295129,-0.095977,0.0,0.109611,-0.582971,0.471327,-0.893794,0.351843,-0.895938,-0.30198,-0.435859,0.861432,-0.058658,0.0,-0.265527,-0.163332,0.092567,0.053922,-0.034341,-0.296684,-0.276458,-0.524172,0.474502,-0.332322,0.0,0.17926,-0.195482,0.041151,-0.287999,0.046947
-1.23216,-1.541017,0.389472,-0.092708,0.106527,0.798901,0.584649,-0.030836,-0.007819,-0.027792,0.143914,0.25842,0.73212,-0.599854,-0.042037,-0.046488,0.29123,0.116247,0.0,-0.177681,0.297277,-0.379983,-0.612892,-0.763292,-0.416361,-0.190901,-0.473388,0.312452,-0.107999,0.0,0.116283,-0.590803,0.47272,-0.904112,0.352885,-1.086701,-0.327774,-0.380561,1.015678,0.048949,0.0,-0.316693,-0.137441,0.056625,-0.003393,-0.225466,-0.370148,-0.333508,-0.648977,0.560924,-0.375061,0.0,0.206046,-0.244193,0.025425,-0.316729,0.033257
-1.231315,-1.542244,0.388481,-0.09647,0.109837,0.806191,0.573311,-0.068551,-0.027519,-0.029288,0.156767,0.281126,0.87032,-0.639535,-0.052515,-0.056641,0.328071,0.120322,0.0,-0.188815,0.293541,-0.378898,-0.613868,-0.774085,-0.429949,-0.202811,-0.497149,0.332524,-0.120981,0.0,0.123348,-0.599251,0.473022,-0.914909,0.35406,-1.280377,-0.238762,-0.045711,1.189349,0.286266,0.0,-0.333575,-0.102263,-0.002423,-0.056103,-0.344708,-0.448243,-0.382291,-0.766837,0.609066,-0.371527,0.0,0.224061,-0.269977,-0.002422,-0.327325,0.071338
-1.22889,-1.544699,0.387519,-0.10054,0.113268,0.814512,0.560029,-0.137577,-0.068272,-0.03336,0.119305,0.271998,1.129454,-0.685212,-0.057954,-0.049536,0.37052,0.135331,0.0,-0.199919,0.29046,-0.380144,-0.616632,-0.786272,-0.446244,-0.216388,-0.52451,0.353057,-0.132767,0.0,0.13122,-0.608801,0.472559,-0.925933,0.357641,-1.451464,0.054185,0.685306,1.366361,0.570046,0.0,-0.300142,0.005956,-0.086059,-0.132149,-0.184671,-0.490462,-0.391592,-1.023214,0.654965,-0.354909,0.0,0.163493,-0.16846,-0.031273,-0.21317,0.062035
