root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z,l_hip_pitch_angle,l_hip_roll_angle,l_thigh_angle,l_calf_angle,l_ankle_pitch_angle,l_ankle_roll_angle,l_shoulder_pitch_angle,l_shoulder_roll_angle,l_upper_arm_angle,l_elbow_angle,l_wrist_angle,r_hip_pitch_angle,r_hip_roll_angle,r_thigh_angle,r_calf_angle,r_ankle_pitch_angle,r_ankle_roll_angle,r_shoulder_pitch_angle,r_shoulder_roll_angle,r_upper_arm_angle,r_elbow_angle,r_wrist_angle,l_hip_pitch_angvel,l_hip_roll_angvel,l_thigh_angvel,l_calf_angvel,l_ankle_pitch_angvel,l_ankle_roll_angvel,l_shoulder_pitch_angvel,l_shoulder_roll_angvel,l_upper_arm_angvel,l_elbow_angvel,l_wrist_angvel,r_hip_pitch_angvel,r_hip_roll_angvel,r_thigh_angvel,r_calf_angvel,r_ankle_pitch_angvel,r_ankle_roll_angvel,r_shoulder_pitch_angvel,r_shoulder_roll_angvel,r_upper_arm_angvel,r_elbow_angvel,r_wrist_angvel
0.266687,1.549449,0.362132,-0.180609,-0.055784,0.981302,-0.036264,1.006524,-0.095743,-0.14042,-0.354967,0.047666,-0.230739,-1.130775,0.031097,0.015016,0.77829,0.032742,0.0,0.232263,0.747776,-0.426859,-0.865253,-0.52021,-0.372838,0.101179,-0.193512,0.46111,-0.29664,0.0,-0.191096,-0.459784,0.239577,-1.092324,0.218286,-0.587791,-0.52501,-1.316786,-7.228064,-0.18437,0.0,1.671352,0.089443,1.220243,1.816465,1.197388,4.19144,1.063461,0.622499,-1.988663,-1.373915,0.0,-1.614733,0.570231,0.09349,-2.676819,3.430592
0.230332,1.551985,0.35835,-0.184122,-0.048068,0.981281,-0.029596,1.041097,-0.084057,-0.127509,0.432427,0.116191,-0.647586,-1.132857,-0.001845,-0.039855,0.522209,0.032257,0.0,0.261254,0.719227,-0.400966,-0.798908,-0.463714,-0.23224,0.110419,-0.15789,0.39607,-0.346593,0.0,-0.226141,-0.46283,0.226346,-1.205402,0.375319,0.257896,-1.036386,-1.497824,-7.066799,0.151735,0.0,0.329576,-1.124105,0.488033,2.703791,2.049102,4.091088,0.032304,1.245086,-1.949618,-1.180101,0.0,-0.572871,0.245865,-0.770794,-3.849224,5.2902
0.197103,1.552038,0.353631,-0.185645,-0.037739,0.981729,-0.017892,0.863547,-0.065698,-0.15179,0.445868,-0.080093,-0.69973,-1.113582,-0.037995,-0.084839,0.30717,0.042858,0.0,0.254235,0.672836,-0.394324,-0.685,-0.383603,-0.100099,0.103333,-0.110506,0.331136,-0.375313,0.0,-0.229287,-0.443393,0.18819,-1.348939,0.570966,0.648606,-0.687037,-0.252538,-4.482319,0.279778,0.0,-0.627712,-1.64542,-0.041509,3.946721,1.865478,3.371564,-0.369785,1.180339,-1.060691,-0.34962,0.0,0.211308,0.773488,-1.388224,-4.15194,4.900195
0.172678,1.555057,0.348231,-0.182443,-0.029187,0.982739,-0.009335,0.66124,-0.16544,-0.123004,0.540084,-0.25199,-0.526124,-1.089617,-0.047647,-0.056691,0.223387,0.050909,0.0,0.219407,0.609532,-0.403734,-0.535793,-0.339348,-0.007469,0.085766,-0.079201,0.325357,-0.3699,0.0,-0.212054,-0.411264,0.133798,-1.482198,0.701999,0.409416,-0.248966,0.001564,0.225451,1.190853,0.0,-1.407901,-2.147365,-0.316939,4.48896,0.219266,2.293556,-0.369935,0.765867,0.417628,0.708252,0.0,0.773461,0.800175,-1.845622,-3.566917,1.961672
0.152931,1.562703,0.345431,-0.177819,-0.016879,0.983911,-0.003714,0.593112,-0.204774,-0.061063,0.590259,-0.19998,-0.431982,-1.086288,-0.054593,-0.084735,0.3222,0.122248,0.0,0.160375,0.529678,-0.415453,-0.385736,-0.368986,0.052805,0.07867,-0.059448,0.358977,-0.328096,0.0,-0.177723,-0.390048,0.065149,-1.586733,0.701744,-0.195078,-0.404028,-1.225245,3.727461,2.24473,0.0,-1.726587,-2.177184,-0.055838,3.592981,-1.4951,1.259044,-0.0923,0.611751,1.945153,2.429684,0.0,1.102775,0.553659,-2.141209,-2.342603,-1.7384
0.133118,1.568654,0.34416,-0.176098,-0.00727,0.984345,0.00142,0.467821,-0.358053,-0.062279,0.635175,-0.055993,-0.544374,-1.102622,-0.074582,-0.138374,0.471885,0.200557,0.0,0.104301,0.464387,-0.407456,-0.296261,-0.439022,0.076467,0.079613,-0.038418,0.455034,-0.207922,0.0,-0.138535,-0.374353,-0.008949,-1.638371,0.586106,-0.480934,-0.104664,-0.232165,4.164627,0.904955,0.0,-1.514243,-1.85645,0.370109,1.482112,-1.451957,-0.478971,1.069948,-0.123702,4.586426,4.799895,0.0,1.311906,0.130087,-1.942297,-0.719626,-3.824038
0.12188,1.586751,0.341279,-0.176022,0.007165,0.984305,0.01041,0.319683,-0.400731,0.046166,0.401564,0.012808,-0.700957,-1.11835,-0.06157,-0.100213,0.599842,0.182579,0.0,0.059425,0.405915,-0.390779,-0.286929,-0.465783,0.020873,0.15,-0.067695,0.664739,-0.008103,0.0,-0.090263,-0.381376,-0.064338,-1.634708,0.446808,0.069717,0.514566,0.800514,2.70419,-1.051207,0.0,-1.188745,-1.306412,0.536803,-0.529626,0.319609,-3.040506,1.055807,-2.010378,7.83547,5.629596,0.0,1.515872,-0.324458,-1.103485,0.81915,-3.790241
0.112322,1.595773,0.347237,-0.17639,0.010026,0.984022,0.022058,0.40103,-0.05354,0.25532,-0.802,0.021131,-0.264929,-1.097974,-0.040278,-0.085007,0.652164,0.130477,0.0,0.025051,0.377293,-0.371669,-0.33157,-0.417714,-0.126233,0.15,-0.172443,0.977399,0.167385,0.0,-0.037477,-0.395984,-0.082515,-1.583761,0.333423,1.039302,0.866247,-0.387024,1.018807,-1.666886,0.0,-0.692758,0.295735,0.382354,-2.106851,1.983672,-4.342688,-0.412696,-2.54702,7.777577,3.74169,0.0,1.213691,-0.087012,0.362218,2.334201,-2.439979
0.09532,1.591454,0.3583,-0.177423,-0.01756,0.98369,0.023806,0.576526,0.113376,0.26119,-0.746011,-0.044218,0.157685,-1.049063,-0.003821,-0.126014,0.667762,0.071453,0.0,0.013242,0.425631,-0.365289,-0.427386,-0.333538,-0.268639,0.122487,-0.237496,1.183244,0.241343,0.0,-0.00935,-0.387176,-0.04019,-1.479095,0.284143,1.92248,0.498664,-0.631332,0.132887,-1.837539,0.0,-0.439162,0.995196,-0.142034,-3.254443,2.019509,-4.300565,-1.163325,-1.030236,5.054953,-0.377451,0.0,0.785598,-0.927636,2.125081,3.518381,-0.675088
0.07352,1.590402,0.36465,-0.175774,-0.015413,0.98408,0.021272,0.597927,0.034666,0.165806,0.446165,-0.191167,0.05119,-0.969809,-0.007034,-0.127095,0.661023,0.007974,0.0,-0.004226,0.443639,-0.381138,-0.548532,-0.283081,-0.412938,0.072445,-0.241125,1.314395,0.142221,0.0,0.014896,-0.457826,0.059157,-1.349202,0.288417,2.518734,-0.203251,0.2105,-0.572425,-1.601174,0.0,-0.837575,0.256691,-0.506793,-3.474939,0.486895,-4.456457,-1.819878,-0.307599,3.187733,-2.583099,0.0,0.92522,-2.533152,3.586588,3.915892,0.526351
0.055393,1.591154,0.369354,-0.170718,-0.003396,0.985118,0.019671,0.590099,-0.034468,0.096822,1.136171,-0.252975,0.034085,-0.881148,-0.017371,-0.111981,0.629601,-0.035292,0.0,-0.042597,0.442743,-0.399075,-0.659048,-0.301078,-0.565736,0.001162,-0.258003,1.39576,0.069136,0.0,0.052331,-0.556053,0.198916,-1.218035,0.319233,2.832963,-0.661868,0.578889,-1.10907,-1.130006,0.0,-1.492197,-0.55616,-0.536644,-3.189471,-1.230609,-4.630988,-2.162663,0.141269,1.733052,-1.986951,0.0,1.382915,-3.030043,4.156414,3.968314,0.976281
0.034313,1.594365,0.371105,-0.166553,0.021488,0.985703,0.013706,0.631189,-0.157043,-0.019482,1.894486,-0.212845,0.093413,-0.780945,-0.051158,-0.088503,0.587085,-0.067359,0.0,-0.103706,0.406562,-0.416914,-0.761164,-0.365121,-0.72167,-0.071733,-0.231707,1.429932,0.009758,0.0,0.10709,-0.659829,0.336252,-1.084648,0.353503,2.984312,-1.36234,0.756164,-1.317108,-0.869424,0.0,-2.284401,-1.786081,-0.637633,-2.632305,-1.820152,-4.762867,-1.979752,0.856145,0.271236,-1.776519,0.0,2.254969,-3.181501,3.455388,3.657629,0.903733
0.013543,1.602507,0.368055,-0.16331,0.058252,0.984836,0.005849,0.697524,-0.203542,-0.075906,1.612233,-0.08791,0.092971,-0.682194,-0.108193,-0.06157,0.541793,-0.093254,0.0,-0.19489,0.323671,-0.441584,-0.834535,-0.422422,-0.883261,-0.130822,-0.200927,1.413842,-0.049298,0.0,0.202663,-0.768153,0.429275,-0.974193,0.379482,2.902849,-1.187076,0.481098,-1.001397,-1.084948,0.0,-2.588391,-1.748723,-0.60839,-2.225504,-1.133415,-4.219083,-1.341514,1.007311,-1.962612,-1.282641,0.0,2.682568,-2.222657,2.552563,2.677455,1.106785
-0.012295,1.607566,0.366045,-0.164647,0.073943,0.983576,0.001629,0.804875,-0.160541,-0.061396,0.782727,0.13862,0.105451,-0.587421,-0.130297,-0.05643,0.520325,-0.139689,0.0,-0.276265,0.28998,-0.457474,-0.909531,-0.440682,-1.002942,-0.161167,-0.164553,1.299091,-0.075751,0.0,0.285928,-0.808006,0.506423,-0.906151,0.427288,2.989517,-0.486382,0.014867,-0.839028,-1.31388,0.0,-2.307766,-0.752834,-0.389068,-2.453588,-0.35863,-3.012876,-0.733575,0.942301,-4.485912,-0.622036,0.0,2.117632,-0.715121,1.925167,1.535303,1.785626
-0.040341,1.612007,0.363962,-0.168732,0.083211,0.982142,-0.001554,0.882312,-0.122105,-0.044562,0.412104,0.260841,0.272909,-0.482893,-0.140619,-0.060579,0.485858,-0.180846,0.0,-0.348741,0.273482,-0.467522,-0.998108,-0.44633,-1.084119,-0.179727,-0.138107,1.114781,-0.090767,0.0,0.343838,-0.815828,0.55762,-0.87184,0.498524,3.302642,-0.152966,-0.390589,-1.305307,-1.033236,0.0,-2.016813,-0.293329,-0.348682,-2.799663,-0.237832,-1.950154,-0.674969,1.075819,-6.215433,-0.144379,0.0,1.304203,0.280342,0.967516,0.633271,1.915963
-0.071352,1.613761,0.363074,-0.174305,0.085639,0.980921,-0.008855,0.907755,-0.148512,-0.041132,0.176819,0.280977,0.5169,-0.367245,-0.140494,-0.082469,0.433305,-0.208572,0.0,-0.410719,0.270425,-0.480719,-1.096175,-0.456538,-1.132953,-0.206165,-0.092832,0.884729,-0.085377,0.0,0.372875,-0.789317,0.570924,-0.863933,0.555019,3.512323,0.164076,-0.793555,-1.819077,-0.505906,0.0,-1.702541,-0.153478,-0.293846,-2.789666,-0.459719,-0.98228,-0.309948,1.233777,-7.513618,0.18262,0.0,0.589129,1.004671,-0.239334,-0.077784,0.869759
-0.101279,1.618856,0.36122,-0.179599,0.08562,0.979831,-0.018586,0.839642,-0.150738,-0.030545,-0.000294,0.191813,0.650026,-0.248738,-0.12968,-0.113482,0.364586,-0.214573,0.0,-0.462244,0.26325,-0.487112,-1.184086,-0.476978,-1.149604,-0.20039,-0.055855,0.613874,-0.078593,0.0,0.383113,-0.74885,0.541664,-0.877026,0.556508,3.221678,0.469076,-0.907591,-1.73228,0.178457,0.0,-1.265205,-0.306632,-0.04285,-2.257657,-0.652464,0.045424,-0.123918,1.255255,-7.885136,0.575154,0.0,0.137234,1.342223,-1.332995,-0.503605,-0.922284
-0.127904,1.619772,0.361037,-0.182375,0.081438,0.979407,-0.029478,0.792908,-0.280136,-0.102651,-0.08989,0.052614,0.475609,-0.152467,-0.109223,-0.142975,0.31782,-0.196674,0.0,-0.495067,0.249983,-0.483576,-1.246685,-0.500035,-1.129924,-0.214426,-0.009148,0.359054,-0.047033,0.0,0.382024,-0.699835,0.482057,-0.897507,0.493533,2.755016,0.811006,-0.735853,-0.567999,0.360723,0.0,-0.568534,-0.296354,0.400722,-1.550398,-0.490063,0.587285,0.833249,0.70282,-5.226012,0.658912,0.0,-0.198952,1.485369,-1.894204,-0.431911,-2.217119
-0.155654,1.632511,0.354377,-0.182427,0.079706,0.979413,-0.033426,0.659241,-0.256905,-0.153024,-0.124347,-0.111903,-0.105785,-0.06507,-0.075613,-0.162539,0.32672,-0.190524,0.0,-0.500146,0.243493,-0.460397,-1.287445,-0.509649,-1.110452,-0.14484,-0.009,0.265473,-0.034665,0.0,0.36985,-0.649825,0.415384,-0.90582,0.4087,2.124139,0.581552,-0.298321,0.794497,1.071755,0.0,0.352867,0.024517,1.019086,-0.990822,-0.138826,0.428175,1.087222,-0.18194,-0.247809,1.91081,0.0,-0.30549,1.40041,-1.692716,-0.128577,-2.376162
-0.173359,1.632371,0.350836,-0.178149,0.078288,0.980548,-0.025677,0.489515,-0.008506,-0.060263,-0.03242,-0.257144,-0.624475,-0.010857,-0.070453,-0.162863,0.370786,-0.125224,0.0,-0.471542,0.251617,-0.415637,-1.31274,-0.50929,-1.101379,-0.141944,-0.021278,0.342533,0.080354,0.0,0.361658,-0.606475,0.36921,-0.906078,0.335123,1.112988,-0.248128,0.180257,2.193494,2.84058,0.0,1.265201,0.197128,1.538165,-0.605499,0.13135,0.001329,-0.133628,-0.011871,3.228835,3.608091,0.0,-0.093621,0.891047,-1.058636,0.17537,-1.867497
-0.188222,1.630355,0.350359,-0.172281,0.082839,0.981464,-0.013653,0.448494,0.157747,0.03595,-0.162923,-0.22643,-0.505027,0.009129,-0.092155,-0.150522,0.472953,-0.001152,0.0,-0.415799,0.256635,-0.357852,-1.327812,-0.500893,-1.110364,-0.153748,-0.009792,0.480728,0.205874,0.0,0.363608,-0.590422,0.344808,-0.894128,0.2842,-0.116072,-0.994702,1.365492,4.277183,4.226872,0.0,1.736017,0.530548,1.352742,-0.00982,0.253133,-0.216563,-0.357946,0.430606,3.789824,1.422417,0.0,-0.257105,0.659491,-0.205949,0.512811,-0.872831
-0.202589,1.620116,0.353233,-0.169226,0.07619,0.982588,-0.008894,0.472686,0.137197,0.174138,-0.085111,-0.115695,-0.113566,-0.018595,-0.136766,-0.07183,0.655932,0.156567,0.0,-0.355808,0.286987,-0.325454,-1.313395,-0.492415,-1.115817,-0.165808,0.007429,0.595188,0.175182,0.0,0.344518,-0.562509,0.35548,-0.871891,0.276934,-2.115172,-0.694469,2.38138,6.559548,4.210125,0.0,1.544896,0.593089,0.545503,1.27971,0.493159,0.351099,-0.520017,0.613627,2.719032,-1.587449,0.0,-0.73262,0.307059,0.341563,0.935042,0.266149
-0.219281,1.619773,0.361968,-0.168091,0.080828,0.982403,-0.00981,0.547033,-0.033274,0.202666,-0.067976,-0.000984,-0.008488,-0.131882,-0.138453,0.008236,0.910256,0.279523,0.0,-0.312806,0.296175,-0.321486,-1.242498,-0.468015,-1.086957,-0.188416,0.031117,0.661997,0.100044,0.0,0.314767,-0.569952,0.367579,-0.831792,0.301943,-3.830027,-0.134827,1.601327,6.854906,1.505975,0.0,1.099573,0.741337,-0.53785,2.821138,0.741183,1.311566,-0.182063,0.116633,1.340359,-2.283209,0.0,-1.062091,-0.354828,0.580081,0.889208,0.875103
-0.239123,1.620538,0.366744,-0.169082,0.074014,0.982784,-0.008245,0.662501,-0.057458,0.110286,-0.790793,0.139715,-0.034724,-0.273931,-0.145754,0.034925,1.112925,0.256966,0.0,-0.282503,0.33641,-0.36131,-1.125319,-0.443002,-1.028379,-0.177945,0.015205,0.684545,0.022968,0.0,0.273711,-0.586164,0.394152,-0.81261,0.335274,-4.388381,-0.173202,-0.006986,4.924073,-1.781169,0.0,0.943438,1.557566,-1.857897,3.705506,0.639298,2.062571,0.548663,-0.681537,0.459419,-2.299257,0.0,-1.374373,-0.468786,0.933285,0.2218,0.883626
-0.263573,1.62167,0.369321,-0.171637,0.054959,0.983618,-0.003926,0.588777,-0.058707,0.088929,-0.707444,0.019382,0.187358,-0.424441,-0.15,0.007771,1.238527,0.160778,0.0,-0.249911,0.400012,-0.445345,-0.995464,-0.425395,-0.949452,-0.151839,-0.014319,0.692625,-0.05324,0.0,0.223142,-0.601204,0.429798,-0.817005,0.360851,-4.746014,-0.016884,0.234722,2.734163,-2.045393,0.0,0.915708,1.23456,-3.267503,3.745985,0.219539,2.215972,0.354751,-0.868956,-0.023573,-1.759867,0.0,-1.386735,-0.735835,0.597483,-0.168112,0.545042
-0.27847,1.623342,0.372672,-0.169669,0.049754,0.98419,-0.010392,0.503712,-0.107965,0.094851,-0.338603,0.000455,0.433596,-0.590332,-0.14688,0.050573,1.295203,0.120606,0.0,-0.221456,0.418714,-0.579144,-0.875587,-0.428366,-0.880648,-0.154295,-0.042725,0.682974,-0.094356,0.0,0.181262,-0.635219,0.433984,-0.823818,0.37161,-4.663015,0.393386,0.862198,0.334805,-1.098059,0.0,0.689363,0.265111,-4.067031,3.423673,-0.49796,2.216679,0.097252,-0.95762,-0.453006,-1.234976,0.0,-1.263788,-0.901231,-0.148447,-0.61611,0.217625
-0.297413,1.627532,0.375644,-0.172022,0.041375,0.98409,-0.016229,0.595187,-0.116331,0.042621,-0.77294,0.18702,0.399256,-0.735309,-0.123774,0.065251,1.260848,0.087574,0.0,-0.203953,0.417686,-0.716481,-0.767219,-0.458593,-0.801674,-0.145355,-0.07816,0.662425,-0.135571,0.0,0.13889,-0.661286,0.419902,-0.858079,0.37536,-4.057997,0.795014,0.285641,-1.850711,-1.028332,0.0,0.752625,0.148544,-3.479357,2.966283,-1.111315,2.449962,0.66195,-1.157344,-0.661255,-1.188787,0.0,-1.364536,-0.337559,-0.378896,-1.453509,-0.042769
-0.318481,1.629142,0.375514,-0.17541,0.021902,0.984072,-0.01882,0.664842,-0.08235,-0.038479,-1.196231,0.237306,0.406227,-0.860865,-0.093879,0.069616,1.171822,0.052051,0.0,-0.171281,0.428617,-0.811101,-0.677834,-0.502454,-0.717317,-0.110165,-0.119882,0.63889,-0.173609,0.0,0.090293,-0.657723,0.408724,-0.920719,0.368759,-3.398758,0.936108,-0.089223,-3.363582,-1.007633,0.0,1.233145,0.44062,-1.898669,2.244998,-1.198238,2.637017,1.237589,-1.248595,-0.71219,-1.220239,0.0,-1.493953,0.257622,-0.350805,-2.142596,-0.415275
-0.341947,1.630904,0.373079,-0.178981,-0.000449,0.983598,-0.022373,0.722614,-0.138186,-0.078275,-1.166223,0.230608,0.489425,-0.961892,-0.061367,0.059302,1.036609,0.020398,0.0,-0.121743,0.447061,-0.843059,-0.617553,-0.538475,-0.625872,-0.062849,-0.1614,0.614945,-0.216921,0.0,0.039293,-0.644111,0.396515,-1.000919,0.347675,-2.612213,1.185744,-0.402868,-4.678669,-0.454412,0.0,1.589542,0.593743,-0.11489,1.291965,-0.726102,2.934543,1.478454,-1.176711,-0.926419,-1.316957,0.0,-1.466282,0.326233,-0.53026,-2.609806,-0.634331
-0.367034,1.636087,0.370295,-0.182106,-0.019424,0.982692,-0.027851,0.73172,-0.160898,-0.104008,-1.121714,0.171165,0.447721,-1.035012,-0.01483,0.042758,0.859911,0.021757,0.0,-0.065311,0.468199,-0.818761,-0.591703,-0.550861,-0.521681,-0.011601,-0.198329,0.577129,-0.261406,0.0,-0.007459,-0.635975,0.373373,-1.094706,0.32647,-1.662254,1.258766,-0.177034,-6.193888,0.157393,0.0,1.96952,1.067614,1.446533,-0.0738,0.027364,3.340217,1.719049,-0.876507,-1.687513,-1.011831,0.0,-1.325227,0.385458,-0.912569,-2.960297,-0.340165
-0.391212,1.639126,0.366145,-0.183393,-0.040039,0.981756,-0.030298,0.729636,-0.022931,-0.169264,-1.257345,-0.007237,0.24111,-1.072709,0.022551,0.0475,0.623683,0.030891,0.0,0.009558,0.518235,-0.746623,-0.622473,-0.536651,-0.403191,0.051754,-0.219834,0.502444,-0.284376,0.0,-0.049056,-0.618414,0.335677,-1.198272,0.324997,-0.758138,0.458711,0.315774,-7.291219,0.339491,0.0,2.495538,1.827954,2.555212,-1.597042,0.82348,3.623167,1.862532,-0.195763,-2.208778,-0.505758,0.0,-1.357322,0.948535,-1.198022,-2.681035,0.260569
-0.415694,1.635276,0.359011,-0.180733,-0.062047,0.981172,-0.028058,0.705203,-0.048311,-0.190849,-0.750337,-0.175689,0.065754,-1.085555,0.015751,0.06381,0.37383,0.044389,0.0,0.101058,0.590063,-0.648413,-0.698173,-0.495962,-0.280136,0.112567,-0.21138,0.429877,-0.295123,0.0,-0.097947,-0.572739,0.293505,-1.273441,0.343841,-0.264254,0.125191,0.981137,-6.111716,0.293862,0.0,2.153782,1.342862,2.631139,-1.997682,1.315277,3.294218,1.334511,0.404634,-1.451356,-0.482822,0.0,-1.303936,1.064591,-1.54975,-1.731341,0.467801
-0.43831,1.640701,0.353422,-0.177392,-0.064968,0.981605,-0.027624,0.654048,-0.119551,-0.186299,-0.144979,-0.279375,0.03134,-1.090326,0.030897,0.112909,0.216235,0.050482,0.0,0.153143,0.607759,-0.571214,-0.755652,-0.448966,-0.183577,0.140721,-0.192858,0.405687,-0.316564,0.0,-0.135985,-0.547441,0.23236,-1.313695,0.356184,0.134579,0.081278,1.44409,-2.939754,0.157507,0.0,1.318395,0.299686,2.353714,-1.249377,1.367975,2.654938,0.561488,0.658403,-0.087617,-0.496547,0.0,-0.954091,0.846467,-1.974904,-0.846729,0.032073
-0.459539,1.641789,0.346591,-0.171495,-0.066933,0.982519,-0.027677,0.603671,-0.163431,-0.108908,0.142266,-0.47151,0.040273,-1.076583,0.02117,0.160082,0.177846,0.05489,0.0,0.188951,0.610042,-0.491499,-0.781465,-0.404764,-0.10314,0.15,-0.167486,0.424036,-0.328226,0.0,-0.161553,-0.516308,0.161845,-1.32989,0.34598,0.454915,0.414715,0.113836,0.990102,0.825004,0.0,0.88361,-0.401881,2.262799,-0.155715,1.169753,2.212669,0.139181,0.639863,0.94201,0.549627,0.0,-0.517915,0.765368,-2.101928,-0.103213,-0.547815
-0.478896,1.650245,0.346161,-0.161872,-0.060459,0.984535,-0.028862,0.48027,-0.408973,-0.005802,0.957721,-0.60552,-0.202407,-1.059999,0.058544,0.120498,0.282242,0.105482,0.0,0.212051,0.580967,-0.420361,-0.766033,-0.370982,-0.036066,0.15,-0.150201,0.468488,-0.279922,0.0,-0.170512,-0.496417,0.092231,-1.320576,0.319663,0.280723,1.101654,-1.083699,3.477427,2.861963,0.0,0.246538,-1.692916,1.657212,1.120315,0.911832,1.246627,0.0,0.221292,2.295941,2.119841,0.0,0.035815,-0.120214,-1.860867,0.390309,-0.739788
-0.492605,1.667772,0.346204,-0.152339,-0.034136,0.987413,-0.02537,0.356272,-0.487667,0.046918,1.141586,-0.634945,-0.396674,-1.057868,0.094613,0.087836,0.409674,0.245687,0.0,0.205387,0.497181,-0.381018,-0.706777,-0.343975,-0.020032,0.15,-0.152734,0.577098,-0.186903,0.0,-0.159165,-0.524322,0.037787,-1.303869,0.29666,-0.065764,1.184876,-1.16794,3.882183,2.787864,0.0,-0.676362,-2.548325,0.777296,2.740973,0.699431,-0.496725,0.0,-0.533105,4.973533,4.071787,0.0,0.747713,-0.832578,-1.376183,0.528903,-0.803109
