root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z,l_hip_pitch_angle,l_hip_roll_angle,l_thigh_angle,l_calf_angle,l_ankle_pitch_angle,l_ankle_roll_angle,l_shoulder_pitch_angle,l_shoulder_roll_angle,l_upper_arm_angle,l_elbow_angle,l_wrist_angle,r_hip_pitch_angle,r_hip_roll_angle,r_thigh_angle,r_calf_angle,r_ankle_pitch_angle,r_ankle_roll_angle,r_shoulder_pitch_angle,r_shoulder_roll_angle,r_upper_arm_angle,r_elbow_angle,r_wrist_angle,l_hip_pitch_angvel,l_hip_roll_angvel,l_thigh_angvel,l_calf_angvel,l_ankle_pitch_angvel,l_ankle_roll_angvel,l_shoulder_pitch_angvel,l_shoulder_roll_angvel,l_upper_arm_angvel,l_elbow_angvel,l_wrist_angvel,r_hip_pitch_angvel,r_hip_roll_angvel,r_thigh_angvel,r_calf_angvel,r_ankle_pitch_angvel,r_ankle_roll_angvel,r_shoulder_pitch_angvel,r_shoulder_roll_angvel,r_upper_arm_angvel,r_elbow_angvel,r_wrist_angvel
-0.583301,0.454753,0.375808,0.095961,-0.082701,-0.742921,-0.657283,0.718616,-0.077917,-0.06175,-0.994323,0.184878,0.276823,-0.804876,0.015177,0.045192,1.168856,-0.025066,0.0,0.085727,0.578708,-0.621496,-0.817302,-0.562709,-0.49598,-0.03613,-0.151098,0.521914,-0.182599,0.0,-0.020452,-0.492705,0.375857,-0.929234,0.310495,-3.05415,0.849912,-0.870281,-3.487728,-0.816065,0.0,1.627914,0.605998,0.746237,0.824479,0.584871,2.86663,1.33365,-0.763167,-1.094172,-1.347719,0.0,-1.576589,0.719437,0.030173,-2.103088,0.269614
-0.583534,0.479993,0.372778,0.110005,-0.071733,-0.744085,-0.65505,0.723743,-0.029473,-0.133011,-1.055826,0.19237,0.30404,-0.895207,0.039352,0.011434,1.030572,-0.036574,0.0,0.147232,0.607235,-0.577709,-0.807806,-0.525688,-0.396471,0.013467,-0.1716,0.481683,-0.229432,0.0,-0.075192,-0.465137,0.378353,-0.999887,0.321961,-2.416998,0.398246,-0.593154,-4.798096,0.125935,0.0,1.869757,0.991904,1.637828,-0.012464,1.366209,2.864661,1.513639,-0.479988,-1.195397,-1.333666,0.0,-1.651105,0.862222,0.038229,-2.056192,0.381848
-0.587224,0.502883,0.366941,0.124625,-0.059748,-0.745469,-0.652054,0.74076,-0.036252,-0.16587,-0.845274,0.25445,0.313887,-0.966009,0.041727,0.005648,0.848982,-0.016671,0.0,0.210377,0.644835,-0.512308,-0.818133,-0.471628,-0.305002,0.06478,-0.183097,0.442221,-0.27151,0.0,-0.130526,-0.435224,0.378406,-1.066313,0.335952,-1.705133,0.107881,-0.574521,-6.031032,0.847364,0.0,1.655221,0.937658,1.98825,-0.344544,1.635966,2.918159,1.393381,-0.168173,-1.368233,-1.261668,0.0,-1.548887,0.671755,-0.171484,-1.952604,0.50271
-0.587207,0.529299,0.36172,0.135525,-0.055236,-0.74703,-0.648482,0.784979,-0.126403,-0.130355,-0.172012,0.32117,0.195831,-1.008883,0.046544,-0.026868,0.628503,0.019916,0.0,0.25758,0.669746,-0.445159,-0.830775,-0.416624,-0.201927,0.106359,-0.182811,0.390468,-0.313543,0.0,-0.178451,-0.420353,0.36692,-1.130061,0.355475,-0.959102,0.006636,-0.843562,-6.629158,1.090158,0.0,0.907606,0.114172,1.670949,-0.017538,1.409545,3.03916,0.765985,0.141547,-1.470626,-1.082795,0.0,-1.047343,-0.044448,-0.507469,-1.910579,0.62347
-0.585515,0.555862,0.358251,0.136706,-0.061707,-0.748185,-0.646315,0.781107,-0.085789,-0.150568,0.260014,0.254149,-0.042879,-1.029949,0.042169,-0.050589,0.407039,0.056007,0.0,0.270884,0.652446,-0.400911,-0.819302,-0.377659,-0.102392,0.115845,-0.173661,0.344179,-0.343697,0.0,-0.200349,-0.438187,0.344575,-1.193685,0.377517,-0.404944,-0.627874,-0.421287,-5.85365,0.604191,0.0,0.087884,-0.734954,1.169601,0.90348,0.870533,2.84067,0.241328,0.437044,-1.00814,-0.770032,0.0,-0.36851,-0.54217,-0.704407,-1.773138,0.537238
-0.588446,0.581672,0.351682,0.136048,-0.067399,-0.746532,-0.647795,0.712513,-0.016894,-0.201093,0.191259,0.128843,-0.139442,-1.035879,0.004686,-0.054953,0.23826,0.060196,0.0,0.263439,0.620749,-0.367185,-0.770544,-0.358588,-0.012549,0.122447,-0.153675,0.323258,-0.364878,0.0,-0.203019,-0.456498,0.31996,-1.24827,0.39129,-0.118302,-1.053254,0.122818,-3.212718,0.212408,0.0,-0.249507,-0.917825,0.823635,1.599817,0.350299,2.355839,0.205587,0.564899,-0.105613,-0.201854,0.0,0.029014,-0.373136,-0.731319,-1.176336,0.255245
-0.590539,0.603109,0.344844,0.135384,-0.069869,-0.745625,-0.648716,0.561055,-0.113325,-0.107602,0.199442,-0.012481,-0.034411,-1.037836,-0.028048,-0.042401,0.192857,0.070167,0.0,0.25425,0.591258,-0.346002,-0.712648,-0.354305,0.054664,0.129551,-0.136001,0.337138,-0.357154,0.0,-0.198415,-0.463063,0.29582,-1.272108,0.394533,0.049618,-0.19414,-0.265863,0.37881,1.629717,0.0,-0.430602,-1.007641,0.311838,2.024968,-0.001004,1.72819,0.123112,0.456796,0.5391,1.068884,0.0,0.513243,-0.220826,-0.879718,-0.541885,-0.012072
-0.585711,0.619733,0.344508,0.131287,-0.072183,-0.746647,-0.64813,0.45678,-0.206019,-0.004258,0.310755,-0.098918,-0.061958,-1.032571,-0.008257,-0.072678,0.263514,0.168844,0.0,0.234732,0.553573,-0.346396,-0.635546,-0.358655,0.102664,0.130655,-0.123222,0.359198,-0.29362,0.0,-0.168803,-0.471219,0.261312,-1.284396,0.390486,-0.006119,0.30919,-0.85695,2.71234,2.896159,0.0,-0.745705,-1.268146,-0.347174,2.360257,-0.114949,0.975279,0.192627,0.430398,1.426323,2.860405,0.0,1.190717,-0.402794,-0.942417,-0.214809,-0.234474
-0.580912,0.635098,0.344561,0.126013,-0.075661,-0.745822,-0.649727,0.404994,-0.216762,-0.00619,0.602735,-0.055993,-0.37378,-1.038244,-0.007435,-0.099532,0.37368,0.263244,0.0,0.204537,0.506715,-0.369147,-0.555297,-0.361969,0.119683,0.142393,-0.107307,0.432226,-0.16646,0.0,-0.119033,-0.489916,0.232992,-1.286428,0.378901,-0.057278,-0.220942,0.327269,3.147414,1.579706,0.0,-1.130784,-1.695873,-0.891704,2.284501,-0.092249,-0.471383,0.290181,-0.169116,3.894043,4.054982,0.0,1.755981,-1.011729,-0.677897,0.047104,-0.474989
-0.574875,0.648375,0.344096,0.115781,-0.087424,-0.740955,-0.655696,0.397656,-0.196389,0.113271,0.261117,0.051357,-0.331764,-1.03639,-0.022986,-0.05086,0.473341,0.274157,0.0,0.159347,0.440514,-0.405843,-0.483246,-0.364805,0.071238,0.15,-0.134497,0.618801,-0.023287,0.0,-0.051737,-0.538668,0.216119,-1.281255,0.35882,0.312648,0.195697,0.428063,2.37931,-0.536223,0.0,-1.281558,-1.258254,-1.0801,1.647498,-0.191419,-2.153865,0.114107,-1.235981,6.280588,4.732495,0.0,1.78362,-0.948337,-0.118815,0.640173,-0.785427
