frame,root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z,l_hip_pitch_angle,l_hip_roll_angle,l_thigh_angle,l_calf_angle,l_ankle_pitch_angle,l_ankle_roll_angle,l_shoulder_pitch_angle,l_shoulder_roll_angle,l_upper_arm_angle,l_elbow_angle,l_wrist_angle,r_hip_pitch_angle,r_hip_roll_angle,r_thigh_angle,r_calf_angle,r_ankle_pitch_angle,r_ankle_roll_angle,r_shoulder_pitch_angle,r_shoulder_roll_angle,r_upper_arm_angle,r_elbow_angle,r_wrist_angle,l_hip_pitch_angvel,l_hip_roll_angvel,l_thigh_angvel,l_calf_angvel,l_ankle_pitch_angvel,l_ankle_roll_angvel,l_shoulder_pitch_angvel,l_shoulder_roll_angvel,l_upper_arm_angvel,l_elbow_angvel,l_wrist_angvel,r_hip_pitch_angvel,r_hip_roll_angvel,r_thigh_angvel,r_calf_angvel,r_ankle_pitch_angvel,r_ankle_roll_angvel,r_shoulder_pitch_angvel,r_shoulder_roll_angvel,r_upper_arm_angvel,r_elbow_angvel,r_wrist_angvel
0,-0.004491293676811442,0.006536004438298991,0.3783723655874575,-0.04055201127957614,0.003269897506220979,0.7998731433970153,0.5987886076268133,-0.01366797543164096,0.009976397814224339,0.0003307632863103205,0.04134924884329257,0.03127845227715333,0.1551850298979668,-0.31439008929627027,-0.01502524687409041,-0.18018320227811452,0.3280032374190251,-0.2538150800782868,0.04441790116339689,0.03129964224288428,0.3655252101381598,-0.6311472109937027,-0.5340215569546921,0.0014066186449187292,-0.34797767920057215,0.09798087531558532,0.05127592994754609,0.3836967735198178,-0.24896425314582968,0.07355752784308991,0.022388415432057492,-0.3302171854666869,0.6737607745626538,-0.5495953153695757,0.061007051292476376,0.012137372581066952,-0.07358100141030277,-0.17292360310633137,-0.14888719612171364,0.09280258217328752,0.0013646229797464882,-0.19345555644880008,-0.10064662230315768,-0.05689250778843635,0.005804124097719132,-0.01676624108638928,-0.08463405912601252,-0.07193789953506557,0.00799772586333597,0.03789162938772905,-0.7147641136543411,0.22930737978442903,-0.013466159970716533,-0.06554954416344849,-0.09949668146330692,0.023055375885450147,-0.07001294065282042
1,-0.0046062072103114455,0.0062176780238788485,0.3783789808531837,-0.04055884952970799,0.0037249989216259897,0.8008124826602132,0.5975286367392332,-0.013107069750922781,0.01061230077736406,0.0005461002559145611,0.035147580545253,0.011025246213999975,0.15450503239356178,-0.31414734184464893,-0.016496866902296466,-0.18364167434024115,0.3250254934965908,-0.25195902843482104,0.04444519362299182,0.027430531113908276,0.36351227769209665,-0.6322850611494715,-0.5339054744727377,0.0010712938231909437,-0.3496703603830924,0.096542117324884,0.05143588446481281,0.38445460610757237,-0.2632595354189165,0.0781436754387785,0.02211909223264316,-0.33152817634995585,0.6717708409333877,-0.5491342078518667,0.05960679247941997,-0.009800933983535043,-0.0753634785466418,-0.15575351149654942,-0.08008473891613077,0.0636836203612573,0.021845254015553407,-0.15408722360413682,-0.07272379425391634,-0.044619234176185296,-0.028701826488602977,-0.0009105868216951161,-0.062207636852806836,-0.06566881712719783,-0.016330933585894866,0.03685342583276269,-0.5107627402243748,0.1417411542535274,0.0063275516251340945,-0.08873005458836236,-0.04962938333644695,-0.013633045595032312,-0.07226706618977258
2,-0.004749857508886384,0.005912938893484967,0.3783942095976941,-0.04031852401382939,0.0038392843129858374,0.801742883442111,0.5962952501632396,-0.010462861898767049,0.006809733215410729,0.0026890272333129905,0.034972167521315975,0.002858104556183594,0.1078129824525186,-0.31478212665561167,-0.018039786015956082,-0.1864133427379765,0.32479984786237986,-0.2512677352638365,0.045291711324019025,0.025136153298718805,0.36261625836800315,-0.6329319803607502,-0.5351696300142362,0.0013701951720509246,-0.3504659846746844,0.0953541226304974,0.05062269260411029,0.3851709105531283,-0.2693947627548047,0.07922717401323101,0.022641517497062856,-0.3337663876502214,0.6717755992291959,-0.550140637193377,0.05811636864488547,-0.013535635999106788,-0.06652755965047683,-0.11783678079929014,-0.05563439284837768,0.01743867328725529,0.03398206258005635,-0.09480861097608921,-0.03618757397409883,-0.037798931770574584,-0.018973456866719363,0.013701010045711632,-0.05742507485289178,-0.06151648113823446,-0.04047915046684492,0.05613965003944954,-0.210071132207712,0.04984443181628752,0.003804558454719928,-0.083112142043483,-0.035164918702268455,-0.041610866027141924,-0.04179427562993974
3,-0.004747373798457497,0.005738697536472956,0.37848654194251624,-0.04019558859943237,0.004232420229150734,0.8021244169543768,0.5957875636514669,-0.005023488441799019,0.005741764895647516,0.003411802921345075,0.03337886753153225,0.012597942154695315,0.10866338383013112,-0.3146887672846132,-0.01915796928831554,-0.18835514557221275,0.3228001177826557,-0.25126148150333083,0.04580447612619407,0.023638186674864708,0.3620647747331327,-0.6337970184202945,-0.5346644127474065,0.001619334225019409,-0.3519673633772081,0.09408145807935463,0.04981671844613901,0.38670019210915035,-0.271662380707225,0.08013745271143,0.02227127457083196,-0.33485266203169517,0.6703642441852969,-0.5507986424929524,0.05793502145422238,-0.004166308255300344,-0.0676773478621614,-0.1408870616082046,-0.05766566268226997,0.031985551477380775,0.019819944811324056,-0.08318523629044852,-0.03652545057294121,0.004404111695480162,0.02239852794209407,-0.0037537030184800002,-0.06634815341270972,-0.05659379173291387,-0.035050910481619624,0.09361194405117651,-0.09854358686651049,0.03622256633101957,0.03300173611122973,-0.06206364659735453,-0.08995756381413034,-0.010096551151994593,-0.009412176868547374
4,-0.004912050967141343,0.005654446026105338,0.3785306817145479,-0.04013058332848112,0.0044370859597318195,0.803057888636872,0.5945316442780749,0.0008783733962150431,0.004794057982850209,0.001949725575194072,0.04541711781797607,0.009398834736368034,0.13213062195291303,-0.3149487789858237,-0.02074687993044254,-0.19204882520230468,0.32249322135508907,-0.24998831320474127,0.04608450911647199,0.021808743847100864,0.3611552403450855,-0.632755815892931,-0.5342736888965525,0.0012200470513117245,-0.3531199108111928,0.09309037096118085,0.04922065618484551,0.38891538831517536,-0.2733365062294651,0.0806760766664718,0.023961586941512045,-0.33624893351411556,0.6681772966766307,-0.5505444992394568,0.05773988157014358,-0.012456012512496173,-0.08302444321811545,-0.12103646653374364,-0.0020990507707777106,0.058231056246345336,-0.006838735480962227,-0.045705246979543375,-0.03623530646441747,0.012510205948501607,0.006554374637121607,-0.010256826844427644,-0.043294965336428126,-0.062454902665836504,-0.016731229533710652,0.09304510346572065,-0.08143667437591623,0.03077980058878091,0.0854359439321023,-0.04958725842798967,-0.14373430377400132,0.014877402073795731,0.00444963254247286
5,-0.004941071897800096,0.005716600090085701,0.378564530965524,-0.039817656738563884,0.004967445896065181,0.8037265672233644,0.5936442401240554,0.004172017506802881,0.0026343744527424356,0.0007065759692934104,0.055113516303391175,0.018543833101730748,0.08565418629548842,-0.31518700778511305,-0.022478947017040157,-0.1931966042335625,0.3227161557518246,-0.24893223925347702,0.045530926706955584,0.021809976795682973,0.360615362474556,-0.6332966101823544,-0.5344022377619216,0.0012090611512423032,-0.3536991619906652,0.09158326197272117,0.049147469264790584,0.3904219962477792,-0.27491984768226163,0.08136864473498123,0.02568871232811605,-0.33683615236881476,0.6646148720343369,-0.5502035464100006,0.05811300675592129,-0.029632371534915602,-0.0795128531741819,-0.025989656570564457,0.03661056637003085,0.04447214971100566,-0.008037041188729659,0.0005209208964338831,-0.03716656714840283,0.00017295462607924694,0.009160549262260398,-0.00732443832279346,-0.02644474905119376,-0.07090659047780251,-0.003747622344108144,0.05004496885235021,-0.07571745549612013,0.02771846482591024,0.06626219162017571,-0.036212140361222,-0.10624941276302369,0.02849161047177029,0.041732351954045475
6,-0.005061659406130193,0.005783171971890367,0.37855894475331964,-0.03978153408612814,0.005474315194609226,0.8041095842982089,0.5931232906054753,-0.000512162549097524,0.007459001331021937,0.0009593246529285281,0.029048603381057952,0.005335191074596399,0.06792481047844459,-0.3161340738472203,-0.023927394057409814,-0.19308841146512726,0.3239576440098903,-0.24820942721630104,0.0457630274689228,0.02182958068295822,0.3596685776591494,-0.6327488977078878,-0.533907266926062,0.0009270695183999861,-0.35417770077324057,0.09025410734206875,0.04907075129108118,0.39091718706926937,-0.2763652044493099,0.0817848152595082,0.026612074606319074,-0.33769741912856444,0.6639273201661098,-0.549404834820586,0.0594091756483054,-0.035874092467241825,-0.0644375256626608,-0.0009733204085662917,0.05794596915102285,0.023059769951701975,0.010625819412965996,-0.028026384518592667,-0.049352994526423444,-0.01912105414612897,-0.007516171741261957,-0.049850536954876595,-0.014127220553342146,-0.06169762063546226,-0.016095973012231028,0.027361965451613846,-0.045980905634121494,0.034884957525805824,0.020992020039179056,-0.042611652614280016,-0.06655714301547766,0.06584624893191393,0.07040475036029624
7,-0.0052202257989826945,0.005609308349550129,0.37860290395164115,-0.03956519748495273,0.005443618369125761,0.804551655250635,0.5925382656001996,-0.0083691097423219,0.012505321556310352,0.002932379678245723,0.016170541783345344,-0.042567283167261,0.08975618120430293,-0.3166219714838027,-0.02505644804354659,-0.19323553704990515,0.3250339945178655,-0.24800984845540894,0.045955959483474224,0.020688921414939266,0.35864124269349906,-0.6340614523481996,-0.5347028846315721,-0.0007849603269527606,-0.3542642508127989,0.08911535714730268,0.04850363034430134,0.39151647486584373,-0.2767590839076265,0.08276404303601347,0.026528393129683213,-0.33854061847338596,0.6619525863137178,-0.547569696452724,0.06092919677033314,0.001488900830109996,-0.06747466686230592,-0.019304565694113623,0.042399136680140725,0.003129041241765884,0.005782581290053775,-0.06252357704930678,-0.06599575577723726,-0.07825315968952862,-0.04772732513792788,-0.07237597458993796,0.015197558916589526,-0.0747249185561915,-0.05580505393348589,0.027666902902116763,-0.007461943430156492,0.04845156628868856,0.01829724706811633,-0.06741519661981887,-0.10963342088620709,0.060305134266941396,0.04499425065549786
8,-0.005440663628159304,0.005315586788364087,0.37867623994044947,-0.0389148527230381,0.00515810632010007,0.8051989096850035,0.5917041017424313,-0.003725255725554189,0.020559466124712815,0.0026481048842855186,-0.013215568374905947,-0.03945648214752793,0.1276723782479239,-0.3160745178140159,-0.02662638073190205,-0.1938605940928918,0.32565360947709593,-0.2480842655666304,0.04599433072052495,0.019328637600985948,0.3570287474280599,-0.6358790240954689,-0.5358163599315792,-0.0019679694651975324,-0.353569798416577,0.08726511059982109,0.04683854913374175,0.39202386318535404,-0.27666368218651616,0.08372287791105575,0.027343964489043728,-0.3403940269933572,0.6595419833306615,-0.5469926294499083,0.06120894567452531,-0.00552186653463016,-0.060074263568328165,-0.021575388247810356,0.0590316364588922,-0.0009481080536014042,0.008000831037850188,-0.06311958172919782,-0.07491434551949172,-0.11487936364539542,-0.08713741166712918,-0.0808770077206109,0.01611275897504122,-0.06400506370727484,-0.06433027874391209,0.03530049054303597,0.013284517233547177,0.06368458885297537,0.06026516099023344,-0.09689762631740345,-0.07597849974561866,0.08154954606367226,0.021855338365000046
9,-0.005961059152245212,0.0052224277132032135,0.37870882814701257,-0.03910012382613502,0.004662717798899446,0.8060655993328137,0.590514766074263,0.003920596601496941,0.026732292633327093,0.0004650190359445361,-0.037661903049906215,-0.010897062673715726,0.13457683888997035,-0.31684284614518793,-0.027459418586279715,-0.19409855257981756,0.3273952599762212,-0.248047772777553,0.04627599272498823,0.018164138145771353,0.3556446688727194,-0.6386566268940154,-0.5381883810982573,-0.004020040635777196,-0.35361974045379724,0.08655515459901168,0.04593041919454486,0.39292849448756517,-0.2762277032182846,0.08531142659013248,0.02893899956929255,-0.3424165235260821,0.658913446323893,-0.5443077146101771,0.061803410304933144,-0.04447999736730546,-0.05616679223074969,-0.02574230259809046,0.10631710996791138,-0.0012883742398467346,0.01277086443470625,-0.03212740985072569,-0.08861298469629714,-0.07183617137460352,-0.0879437490231394,-0.04144498970455287,-0.00905074996798011,-0.048464811668434346,-0.0590946629639948,0.056622991840855896,0.022704435619311236,0.06704319220592718,0.09416537130745922,-0.10433073029120499,-0.036487875280635795,0.12195201600732897,-0.011764671551911174
