frame,root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,l_hip_pitch_angle,l_hip_roll_angle,l_thigh_angle,l_calf_angle,l_ankle_pitch_angle,l_ankle_roll_angle,r_hip_pitch_angle,r_hip_roll_angle,r_thigh_angle,r_calf_angle,r_ankle_pitch_angle,r_ankle_roll_angle,l_shoulder_pitch_angle,l_shoulder_roll_angle,l_upper_arm_angle,l_elbow_angle,l_wrist_angle,r_shoulder_pitch_angle,r_shoulder_roll_angle,r_upper_arm_angle,r_elbow_angle,r_wrist_angle
0,5.760746029033614e-05,0.003922764261500142,0.3826795798934083,-0.002004719718856596,-0.0007946160378433126,-0.7027559579333067,0.7114277287774505,-0.016219246789564844,0.0038430148013356463,-0.012502283426697373,0.006502868484715842,0.013642201817649767,0.0,-0.008085580636428783,-0.0007196556677687092,-0.01246938736911063,0.005040045720641985,0.006906072136106447,0.0,-0.004489647285792904,1.0687656587546879,0.026000630764391963,-0.04088431626604226,-0.06449605035709584,0.08456071303294413,-1.0610471716923273,-0.09632472340890147,-0.02203309505363928,-0.0029346813998208056
1,-1.2840868020638585,0.6122561053749693,0.3805259618923625,0.006974506073100001,-0.025539045114854646,0.6093461754111916,0.7924622085319974,0.035118244898014885,-0.009259192640806763,0.13966625189741022,2.531224866464892e-11,-0.015239287687016123,0.0,0.021531891446633214,0.026862005232353162,-0.11623810295290729,0.01134148995654401,-0.008606267572916373,0.0,0.0369584740847239,4.3520275006024575e-09,0.07141228607479212,-0.07549175956298908,0.05862850284913291,0.0415242804924224,-3.960611670634942e-08,0.03628144025842838,-0.14619818514064065,0.09016086276589527
2,-1.2836421797032875,0.614003040200454,0.3805928738903305,0.010338326862533201,-0.030006611131385606,0.6104566413952078,0.7914135526149247,0.053618417138516665,-0.010144612014461561,0.13610571673171984,1.4824570299700404e-16,-0.022216945949080063,0.0,0.04619713648090328,0.02794596129692926,-0.11845575324621037,0.0025574272737542147,-0.01354393010839608,0.0,0.06623870385811656,2.7206922941297386e-14,0.05773193756853463,-0.09754992907492178,0.07061215555295294,0.06136306662112146,-2.4754060156924676e-13,0.025609943997920156,-0.15620939112943563,0.09705537788972719
3,-1.2836842619710132,0.6140034849836239,0.3806048544576671,0.010472109030166519,-0.0300472630031993,0.6103920000093087,0.7914601084344766,0.05384732196650968,-0.010486914670899027,0.13616693543291,-1.5929675491701246e-17,-0.021947027268603918,0.0,0.046900179248810514,0.027721653346117158,-0.11822124905822955,0.0014746597281502115,-0.012991204367763576,0.0,0.0669393625780179,1.1733523901840195e-18,0.05756576228374697,-0.09830549629059424,0.07118599566681816,0.06186274492864132,-2.9219248548484344e-17,0.02554578178128063,-0.15643547919143638,0.09730388559663421
4,-1.2837259536210937,0.6140035938668369,0.3806181018310362,0.010540965370687456,-0.030004264244765686,0.6103359388131799,0.7915040580876507,0.05382875859199441,-0.010825461441137345,0.13620659167705804,-3.934378704490069e-18,-0.021638931972070362,0.0,0.04708922044732072,0.027461961416469893,-0.11801020549204692,0.000959582485975894,-0.012702177807592478,0.0,0.06717674495649419,-7.626419959281703e-18,0.05757442108220178,-0.0987921338060638,0.07144367675476568,0.0620489444378232,-1.5466821616863524e-18,0.025522164817374147,-0.15658992305821157,0.0973590763196925
5,-1.2837682986772916,0.6140009862261142,0.38063143270793176,0.010596731898972802,-0.029943449511954174,0.6102794320188827,0.7915491860643258,0.05375009594463093,-0.011163125846415167,0.13624844628210378,-2.752409573865085e-18,-0.021315050405665614,0.0,0.047057379662091676,0.027182228603731172,-0.11780193481476216,0.0007697797245315857,-0.012561351908691221,0.0,0.06733608487768654,-6.1684115592610354e-18,0.057605106156697554,-0.0992411835233799,0.07167074333407039,0.062166298816194475,2.1370641259225998e-18,0.025511330599726455,-0.15671907014752076,0.09739803704228485
6,-1.2838107318851064,0.6139977751738769,0.38064470579727677,0.010647565872493176,-0.029877596175706067,0.6102229784936365,0.7915945143229,0.053653237310960805,-0.011498238771481921,0.13629084001524558,2.8684894835858764e-18,-0.02098929314849878,0.0,0.04700308859690522,0.026903918462873308,-0.11759490025622026,0.0005888070718135406,-0.012422667844691999,0.0,0.06747298489401886,-1.0426657943345217e-17,0.05760698317064032,-0.09966717726567272,0.07187428438489617,0.062263120057777815,-3.992913313356772e-18,0.02550753461024704,-0.15684120117238598,0.09743480038512378
7,-1.2838530062988571,0.6139947217881614,0.3806578260813033,0.010695048431815627,-0.029810097674919437,0.6101666542096503,0.7916398348404748,0.053549515710875725,-0.011829369588899956,0.13633367078982764,1.3075917267644327e-17,-0.020667861637699802,0.0,0.04694081770720286,0.02662982242268075,-0.11739018032242991,0.0004107682139341865,-0.012288971817290457,0.0,0.06760001845163528,-6.5818165770803374e-18,0.05754548891223901,-0.1000602193237903,0.07203823164235329,0.062353671925822626,2.185345003916095e-18,0.025514986348272657,-0.1569617533500599,0.09747074008067295
8,-1.2838949920315386,0.6139920829350907,0.3806707129937471,0.010738358045877533,-0.029741195140366886,0.610110541138849,0.7916850867417945,0.05343932701188408,-0.012154690834801352,0.1363769558854089,3.6308232720178095e-18,-0.020354063516931732,0.0,0.04687075822995716,0.02636216220395863,-0.11718898087353441,0.0002363258512196188,-0.012163535725475304,0.0,0.06771630208744828,1.2332482074667393e-17,0.05738763735147668,-0.10040538074877539,0.07214448702980514,0.062439414282753666,-3.82520078980042e-18,0.025539002565782707,-0.15708196590156984,0.09750583897671046
9,-1.2839365788819732,0.613990028114947,0.3806832944981105,0.010776209946253983,-0.0296705053120482,0.6100547129632492,0.7917302454782502,0.0533209833385881,-0.01247238994237965,0.13642083250956602,-2.8183127076284097e-18,-0.020050624525272398,0.0,0.04679075126171693,0.026102979007764107,-0.11699245387157461,6.664141085788283e-05,-0.012049158406201733,0.0,0.06781826478652724,8.728727461014768e-18,0.057100436220615426,-0.10068644268729003,0.07217484078997809,0.06251929221180724,8.881140451961339e-18,0.025585118423306366,-0.15720198304014033,0.0975398292415006
10,-1.2839777709946607,0.6139883570254445,0.38069549526539903,0.010808305084848304,-0.029599141875308103,0.6099990513418088,0.7917753650521921,0.05319571766765817,-0.012780310109421144,0.13646586901902696,1.2144525132799418e-18,-0.019759599655267003,0.0,0.04665374781776596,0.025848338037842387,-0.11680286150094438,8.330176359195093e-09,-0.011996714011876946,0.0,0.06790424227035999,-1.4952513799202554e-17,0.056651225799558474,-0.1008859561852868,0.07211126644445524,0.06259422646054615,-7.522499604565441e-18,0.025659144736990352,-0.15732065119748134,0.097572408529935
11,-1.284018429911244,0.6139873121760048,0.3807072397610472,0.01083264431737115,-0.029525740353304547,0.6099437150996825,0.7918204019119992,0.0530592752306879,-0.013076596348664907,0.13651192975928467,7.8570387412421e-18,-0.01948357244536303,0.0,0.04647351411892861,0.025602734233410532,-0.11662088225540976,1.0412693744941893e-12,-0.011990073999995583,0.0,0.06796787403170841,3.1479979484706072e-18,0.056006699710870286,-0.10098734556610649,0.07193577738754729,0.06266063832991928,2.2302377501205728e-18,0.025766555246139987,-0.15743800722038903,0.09760324957501583
12,-1.284058384991968,0.6139872672086937,0.3807184569789952,0.010847167159015665,-0.029448782588152995,0.6098888978506012,0.7918652918566891,0.052907509519208376,-0.01335963112946793,0.1365589011997405,-3.409143003756661e-18,-0.019225559856191808,0.0,0.046278844104923535,0.025372470230216194,-0.11644694276606474,1.3047156197745858e-16,-0.011998471607859558,0.0,0.06800331695056686,3.9326786828951504e-17,0.05513354812406871,-0.10097464428071498,0.07163038611017288,0.0627155083179092,8.754085509873194e-18,0.025912699813089055,-0.15755460099181973,0.09763197671859257
13,-1.2840987700409132,0.6139892277715108,0.3807294573457468,0.010851126328622581,-0.029366812074394823,0.6098355254081723,0.7919093858239881,0.05273847169576472,-0.013633739220690347,0.136604866722744,8.515259441875046e-18,-0.018986124426979285,0.0,0.04606970584046551,0.02515126786814602,-0.11628448345645857,4.284848512583887e-18,-0.012030200638606298,0.0,0.06800787451238319,-6.6163861092401535e-18,0.0539787524416197,-0.1008392787993627,0.07117107214563001,0.06275847372539262,7.809643773684649e-19,0.02610468705151976,-0.15766805404471085,0.09766024378069049
