Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000846166593957597,1.39543274492737E-08,-0.0342140522919095,0,0,0,0.478323634001316,0.00019776294098036,-3.15249069948643E-08,1.04300810511967E-07,0.000205515275668237,-1.77442920037233E-08,0.000240141868045892,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/base_link.STL,,base_link-2,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_hip_pitch_link,-0.000611193429448396,0.0295425064966433,0.00140316831126652,0,0,0,0.190274259728404,7.95705273242863E-05,4.19527839362062E-07,-1.91347333284898E-07,5.80866009360851E-05,-1.14280693068073E-06,7.99232721346616E-05,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/l_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/l_hip_pitch_link.STL,,l_hip_pitch_link-1,l_hip_pitch_link,A_l_hip_pitch_link,l_hip_pitch_joint,revolute,0,0.0475,-0.0435,0,0,0,base_link,0,1,0,20,5.45,-3.12,2.94,,,,,,,,
l_hip_roll_link,0.000875058288996866,0.000152872648409297,-0.048850273933809,0,0,0,0.357820126186168,0.00016272013663547,4.20526393290565E-07,-1.27030513632233E-06,0.000121118998225931,1.33469301176351E-07,0.00015709755535998,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/l_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/l_hip_roll_link.STL,,l_hip_roll_link-1,l_hip_roll_link,A_l_hip_roll_link,l_hip_roll_joint,revolute,0,0.034,0,0,0,0,l_hip_pitch_link,1,0,0,20,5.45,-0.17,3.14,,,,,,,,
l_thigh_link,0.00101286003153529,-0.000696307575640653,-0.0226902019406846,0,0,0,0.150079051575517,5.35620059288991E-05,2.17342760514783E-07,1.67352156850339E-06,6.92694800482473E-05,1.1235396416174E-07,4.74816231149645E-05,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/l_thigh_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/l_thigh_link.STL,,l_thigh_link-1,l_thigh_link,A_l_thigh_link,l_thigh_joint,revolute,-0.00025,0,-0.0977,0,0,0,l_hip_roll_link,0,0,1,20,5.45,-2.87,2.87,,,,,,,,
l_calf_link,0.000485869548846968,-0.00177465654422602,-0.0551174973649454,0,0,0,0.295170557979393,0.000104276070034304,-2.91250141342555E-07,-9.08329187286486E-07,0.000124746912706177,7.67614870032702E-07,7.85783838035526E-05,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/l_calf_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/l_calf_link.STL,,l_calf_link-1,l_calf_link,A_l_calf_link,l_calf_joint,revolute,0,0,-0.045,0,0,0,l_thigh_link,0,1,0,20,5.45,-2.14,2.35,,,,,,,,
l_ankle_pitch_link,0.00655369305309497,-0.00218608928574883,1.44630427892922E-05,0,0,0,0.165582705300632,3.14783182363453E-05,-4.16579336218368E-20,-1.17591542556796E-08,6.76294812431336E-05,-1.5189624799079E-14,6.62299679467477E-05,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/l_ankle_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/l_ankle_pitch_link.STL,,l_ankle_pitch_link-1,l_ankle_pitch_link,A_l_ankle_pitch_link,l_ankle_pitch_joint,revolute,0,0,-0.14,0,0,0,l_calf_link,0,1,0,20,5.45,-0.97,0.92,,,,,,,,
l_ankle_roll_link,-0.0138684693471793,4.42143921593058E-05,-0.0242636824831748,0,0,0,0.362838193162948,0.000272372282990799,2.25356204927201E-08,8.5974565098494E-05,0.000702679115359132,-2.68250711885778E-07,0.000703691390715079,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/l_ankle_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/l_ankle_roll_link.STL,,l_ankle_roll_link-1,l_ankle_roll_link,A_l_ankle_roll_link,l_ankle_roll_joint,revolute,0.051,0,0,0,0,0,l_ankle_pitch_link,1,0,0,20,5.45,-0.78,0.78,,,,,,,,
r_hip_pitch_link,-0.000610964493835712,-0.0296847601945264,0.00138929994484499,0,0,0,0.190247690578044,7.95526534774046E-05,-4.11860925098937E-07,-1.52881283249003E-07,5.80685715332541E-05,1.58336163860696E-06,7.98937578829491E-05,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/r_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/r_hip_pitch_link.STL,,r_hip_pitch_link-1,r_hip_pitch_link,A_r_hip_pitch_link,r_hip_pitch_joint,revolute,0,-0.0475,-0.0435,0,0,0,base_link,0,1,0,20,5.45,-3.12,2.94,,,,,,,,
r_hip_roll_link,0.000875058233925853,4.13200928560814E-05,-0.0488502739338086,0,0,0,0.357820126186168,0.00016272013663547,4.20526393290455E-07,-1.27030512524194E-06,0.000121118998225931,1.34377710726592E-07,0.000157097555359981,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/r_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/r_hip_roll_link.STL,,r_hip_roll_link-1,r_hip_roll_link,A_r_hip_roll_link,r_hip_roll_joint,revolute,0,-0.034,0,0,0,0,r_hip_pitch_link,1,0,0,20,5.45,-3.14,0.17,,,,,,,,
r_thigh_link,0.00101285972224733,0.00069566497672921,-0.0226902019492663,0,0,0,0.150079051516807,5.35620058969319E-05,2.1734274632456E-07,1.67352121128934E-06,6.92694800417356E-05,7.76695706373075E-08,4.74816230769337E-05,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/r_thigh_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_23dof_251103/meshes/r_thigh_link.STL,,r_thigh_link-1,r_thigh_link,A_r_thigh_link,r_thigh_joint,revolute,-0.00025,0,-0.0977,0,0,0,r_hip_roll_link,0,0,1,20,5.45,-2.87,2.87,,,,,,,,
